"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","64/1228","138/12719",3.3656833783299e-29,1.63403928017917e-25,1.63403928017917e-25,"Rpl13/Rps11/Rpl8/Rps9/Rplp1/Rps18/Rps15a/Rps25/Rpl15/Rps5/Rpl19/Rps27a/Dph3/Eif4a2/Rps14/Rps24/Rplp2/Rps6/Eif3i/Rpl22/Rps3/Eif4ebp1/Rpsa/Rps29/Rps16/Rpl10a/Fau/Rpl12/Rps21/Rpl22l1/Rps19/Dhx9/Rpl18a/Rpl37a/Rpl27a/Rpl9/Rps8/Rps23/Rps10/Rpl38/Rpl32/Rpl36/Rpl5/Rpl30/Rpl18/Rpl11/Rpl35a/Rpl26/Rps7/Rps12/Rpl34/Rpl17/Rpl9-ps6/Rpl27/Rps15/Rplp0/Rps28/Rpl13a/Eif2s2/Rpl36a/Rpl39/Rps13/Rpl41/Rpl24",64
"GO:0032543","GO:0032543","mitochondrial translation","41/1228","129/12719",2.23084476128336e-12,5.41537565801537e-09,5.41537565801537e-09,"Mrpl2/Mrpl52/Mrps25/Mrpl32/Mtif3/Mrps18c/Coa3/Mrpl58/Mrps24/Mrpl57/Mrpl13/Mrps23/Mrpl14/Mrpl28/Uqcc2/Mrpl27/Mrpl11/Fastkd2/Mrpl20/Mrpl1/Malsu1/Mrps33/Mrpl53/Mrpl46/Mrpl48/Mrpl17/Gadd45gip1/Mrpl15/Mrps17/Mrps10/Mrpl54/Mrpl41/Mrpl12/Mrps6/Mrps35/Ndufa7/Mrps7/Mrps16/Chchd1/Aurkaip1/Alkbh1",41
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","33/1228","90/12719",3.79931027123842e-12,6.14855045562084e-09,6.14855045562084e-09,"Ndufa11/Ndufb2/Ndufa2/Coa3/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Cox14/Uqcc2/Ndufb8/Ndufb3/Ndufaf5/Dmac1/Slc25a33/Tmem126a/Ndufc2/Ndufb7/Coa8/Ndufb10/Coa4/Cox19/Cox17/Ndufaf6/Ndufs8/Smim20/1190007I07Rik/Ndufaf2/Ndufb6/Uqcc3/Ndufaf8/Cox16",33
"GO:0140053","GO:0140053","mitochondrial gene expression","46/1228","162/12719",8.967570666784e-12,1.08843888968091e-08,1.08843888968091e-08,"Mrpl2/Mrpl52/Trnt1/Mrps25/Mrpl32/Mtif3/Mrps18c/Coa3/Mrpl58/Mrps24/Mrpl57/Mrpl13/Mrps23/Mrpl14/Mrpl28/Uqcc2/Mrpl27/Mrpl11/Fastkd2/Slc25a33/Mrpl20/Mrpl1/Malsu1/Mrps33/Mrpl53/Mrpl46/Mrpl48/Mrpl17/Gadd45gip1/Mrpl15/Ppargc1b/Mrps17/Mrps10/Mrpl54/Mrpl41/Mrpl12/Mrps6/Mrps35/Ndufa7/Mrps7/Tefm/Mrps16/Chchd1/Aurkaip1/Mthfs/Alkbh1",46
"GO:0006119","GO:0006119","oxidative phosphorylation","40/1228","130/12719",1.30770455629224e-11,1.26978112415976e-08,1.26978112415977e-08,"Sdhd/Ndufa11/Ndufb2/Ndufa2/Atp5e/Cox7c/Uqcr11/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Uqcc2/Cox7a2l/Ndufb8/Ndufb3/Slc25a33/Ndufc2/Cox4i1/Cox7a2/Gadd45gip1/Ndufb7/Atp5h/Ndufa13/Atp5j2/Atpsckmt/Ndufb10/Ndufa7/Uqcrq/Tefm/Atp5k/Coa6/Antkmt/Fxn/Uqcr10/Ndufs8/Uqcrh/Chchd2/Ndufb6/Uqcc3",40
"GO:0007005","GO:0007005","mitochondrion organization","90/1228","487/12719",8.00497988664024e-10,6.4773628916064e-07,6.4773628916064e-07,"Cav2/Ndufa11/Ndufb2/Alkbh7/Fam162a/Tmem242/Tomm40l/Thg1l/Timm23/Ndufa2/Bik/Coa3/Timm13/Higd1b/Slirp/Timm9/Agtpbp1/Ndufs6/Ndufs4/Bnip3l/Ndufb9/Ndufa6/Ndufb4/Cox14/Trem2/Uqcc2/Cox7a2l/Bad/Wdr45b/Ndufb8/Higd2a/Maip1/Ndufb3/Mff/Bok/Timm10/Ndufaf5/Dnajc19/Jtb/Cibar1/Dmac1/Hmgcl/Hgf/Slc25a33/Tomm7/Ppargc1a/Grpel1/Triap1/Ssbp1/Rab38/Tmem126a/Ndufc2/Mrpl17/Fundc2/Psmd10/Map1lc3b/Gabarapl2/Cox7a2/Atg12/Mrpl15/Ndufb7/Coa8/Atg9b/Higd1a/Ndufb10/Tspo/Immp1l/Coa4/Cox19/Cox17/Micos13/Ndufaf6/Rnf7/Atpif1/Bloc1s2/Fxn/Ndufs8/Smim20/1190007I07Rik/Gpx1/Siva1/Romo1/Ndufaf2/Chchd2/Ndufb6/Uqcc3/Ndufaf8/Tomm5/Cox16/Tomm20",90
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","25/1228","67/12719",1.01442228721489e-09,7.03574314918331e-07,7.03574314918331e-07,"Sdhd/Ndufa11/Ndufb2/Ndufa2/Atp5e/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Ndufb8/Ndufb3/Ndufc2/Ndufb7/Atp5h/Ndufa13/Atp5j2/Atp5l/Atpsckmt/Ndufb10/Ndufa7/Atp5k/Antkmt/Ndufs8/Ndufb6",25
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","24/1228","63/12719",1.33786275039662e-09,8.11915456646947e-07,8.11915456646947e-07,"Sdhd/Ndufa11/Ndufb2/Ndufa2/Atp5e/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Ndufb8/Ndufb3/Ndufc2/Ndufb7/Atp5h/Ndufa13/Atp5j2/Atpsckmt/Ndufb10/Ndufa7/Atp5k/Antkmt/Ndufs8/Ndufb6",24
"GO:0010257","GO:0010257","NADH dehydrogenase complex assembly","21/1228","55/12719",1.36929277056768e-08,6.64791640110609e-06,6.64791640110609e-06,"Ndufa11/Ndufb2/Ndufa2/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Ndufb8/Ndufb3/Ndufaf5/Dmac1/Tmem126a/Ndufc2/Ndufb7/Ndufb10/Ndufaf6/Ndufs8/Ndufaf2/Ndufb6/Ndufaf8",21
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","21/1228","55/12719",1.36929277056768e-08,6.64791640110609e-06,6.64791640110609e-06,"Ndufa11/Ndufb2/Ndufa2/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Ndufb4/Ndufb8/Ndufb3/Ndufaf5/Dmac1/Tmem126a/Ndufc2/Ndufb7/Ndufb10/Ndufaf6/Ndufs8/Ndufaf2/Ndufb6/Ndufaf8",21
