"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044391","GO:0044391","ribosomal subunit","100/1240","186/12806",1.07745233379294e-52,6.52936114278522e-50,5.9543418446452e-50,"Rpl13/Mrpl2/Rps11/Rpl8/Rps9/Rplp1/Rps18/Rps15a/Rps25/Mrpl52/Rpl15/Rps5/Mrps25/Mrpl32/Mrps18c/Rpl19/Mrpl58/Rack1/Rps27a/Mrps24/Mrpl57/Mrpl13/Mrps23/Mrpl14/Mrpl28/Mrpl27/Rps14/Mrpl11/Rps24/Rplp2/Rps6/Rpl22/Mrpl20/Mrpl1/Malsu1/Mrps33/Mrpl53/Mrpl46/Mrpl48/Rps3/Mrpl17/Rpsa/Gadd45gip1/Mrpl15/Mrps17/Mrps10/Rps29/Mrpl54/Rps27l/Mrpl41/Rps16/Rpl10a/Fau/Rpl12/Rps21/Mrpl12/Mrps6/Mrps35/Rps19/Rpl37/Rpl18a/Rpl37a/Rpl27a/Mrps7/Rpl9/Rps8/Rps23/Rpl36al/Mrps16/Rps27rt/Rps10/Rpl38/Rpl32/Rpl36/Rpl5/Rpl30/Rpl18/Rpl11/Rpl35a/Rpl26/Rps7/Rps12/Rpl34/Rpl17/Rpl9-ps6/Rpl35/Rpl27/Rps15/Chchd1/Aurkaip1/Rplp0/Rps28/Rps18-ps6/Hba-a1/Rpl13a/Rpl36a/Rpl39/Rps13/Rpl41/Rpl24",100
"GO:0005840","GO:0005840","ribosome","107/1240","214/12806",3.08721061146022e-52,9.35424815272446e-50,8.53045037377165e-50,"Rpl13/Mrpl2/Rps11/Rpl8/Rps9/Rplp1/Rps18/Rps15a/Rps25/Mrpl52/Rpl15/Rps5/Mrps25/Mrpl32/Mrps18c/Rpl19/Mrpl58/Rack1/Rps27a/Mrps24/Btf3/Mrpl57/Eif3h/Mrpl13/Mrps23/Mrpl14/Mrpl28/Mrpl27/Rps14/Mrpl11/Rps24/Rplp2/Rps6/Rpl22/Mrpl20/Ppargc1a/Mrpl1/Malsu1/Mrps33/Mrpl53/Mrpl46/Mrpl48/Rps3/Mrpl17/Rpsa/Gadd45gip1/Mrpl15/Mrps17/Mrps10/Rps29/Mrpl54/Rps27l/Mrpl41/Rps16/Rpl10a/Fau/Rpl12/Rps21/Rpl22l1/Mrpl12/Mrps6/Mrps35/Rps19/Rpl37/Ndufa7/Dhx9/Rpl18a/Rpl37a/Rpl27a/Mrps7/Rpl9/Rps8/Rps23/Rpl36al/Mrps16/Rps27rt/Rps10/Rpl38/Rpl32/Rpl36/Rpl5/Rpl30/Rpl18/Rpl11/Rpl35a/Rpl26/Rps7/Rps12/Rpl34/Rpl17/Rpl9-ps6/Rpl35/Rpl27/Rps15/Chchd1/Aurkaip1/Rplp0/Rps28/Rps18-ps6/Hba-a1/Rpl13a/Gm2000/Rpl36a/Rpl39/Rps13/Rpl41/Rpl24",107
"GO:0022626","GO:0022626","cytosolic ribosome","65/1240","102/12806",6.54640162114585e-41,1.32237312747146e-38,1.20591608810581e-38,"Rpl13/Rps11/Rpl8/Rps9/Rplp1/Rps18/Rps15a/Rps25/Rpl15/Rps5/Rpl19/Rps27a/Rps14/Rps24/Rplp2/Rps6/Rpl22/Ppargc1a/Mrpl1/Rps3/Rpsa/Rps29/Rps27l/Rps16/Rpl10a/Fau/Rpl12/Rps21/Rps19/Rpl37/Rpl18a/Rpl37a/Rpl27a/Rpl9/Rps8/Rps23/Rpl36al/Rps27rt/Rps10/Rpl38/Rpl32/Rpl36/Rpl5/Rpl30/Rpl18/Rpl11/Rpl35a/Rpl26/Rps7/Rps12/Rpl34/Rpl17/Rpl9-ps6/Rpl35/Rpl27/Rps15/Rplp0/Rps28/Hba-a1/Rpl13a/Rpl36a/Rpl39/Rps13/Rpl41/Rpl24",65
"GO:0015934","GO:0015934","large ribosomal subunit","58/1240","111/12806",4.98866931086694e-30,7.55783400596342e-28,6.8922404952767e-28,"Rpl13/Mrpl2/Rpl8/Rplp1/Mrpl52/Rpl15/Mrpl32/Rpl19/Mrpl58/Mrpl57/Mrpl13/Mrpl14/Mrpl28/Mrpl27/Mrpl11/Rplp2/Rpl22/Mrpl20/Mrpl1/Malsu1/Mrpl53/Mrpl46/Mrpl48/Mrpl17/Gadd45gip1/Mrpl15/Mrpl54/Mrpl41/Rpl10a/Rpl12/Mrpl12/Rpl37/Rpl18a/Rpl37a/Rpl27a/Rpl9/Rpl36al/Rpl38/Rpl32/Rpl36/Rpl5/Rpl30/Rpl18/Rpl11/Rpl35a/Rpl26/Rps12/Rpl34/Rpl17/Rpl9-ps6/Rpl35/Rpl27/Rplp0/Rpl13a/Rpl36a/Rpl39/Rpl41/Rpl24",58
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","89/1240","277/12806",1.0427931983216e-25,1.26386535636578e-23,1.15256090340808e-23,"Sdhd/Ndufa11/Ndufb2/Mrpl2/Etfb/Tomm40l/Mrpl52/Timm23/Ndufa2/Cox6c/Mrps25/Mrpl32/Atp5e/Mrps18c/Cox7c/Mrpl58/Uqcr11/Timm13/Mrps24/Timm9/Atp5mpl/Ndufs6/Ndufs4/Mrpl57/Ndufb9/Mrpl13/Ndufa6/Smdt1/Ndufb4/Mrps23/Mrpl14/Mrpl28/Mrpl27/Mrpl11/Ndufb8/Ndufb3/Timm10/Dnajc19/Dmac1/Tomm7/Mrpl20/Grpel1/Mrpl1/Ndufa4/Malsu1/Mrps33/Mrpl53/Mrpl46/Ndufc2/Mrpl48/Mrpl17/Cox7b/Cox4i1/Cox7a2/Gadd45gip1/Mrpl15/Ndufb7/Mrps17/Atp5h/Mrps10/Mrpl54/Ndufa13/Mrpl41/Atp5j2/Atp5l/Mrpl12/Mrps6/Ndufb10/Mrps35/Ndufa7/Immp1l/Uqcrq/Mrps7/Micos13/Mrps16/Micos10/Atp5k/Uqcr10/Ndufs8/Chchd1/Uqcrh/Aurkaip1/Romo1/Ndufb6/Atp5md/Uqcc3/Tomm5/Timm10b/Tomm20",89
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","37/1240","54/12806",1.70783081787687e-25,1.72490912605564e-23,1.57300206909712e-23,"Rpl13/Rpl8/Rplp1/Rpl15/Rpl19/Rplp2/Rpl22/Mrpl1/Rpl10a/Rpl12/Rpl37/Rpl18a/Rpl37a/Rpl27a/Rpl9/Rpl36al/Rpl38/Rpl32/Rpl36/Rpl5/Rpl30/Rpl18/Rpl11/Rpl35a/Rpl26/Rps12/Rpl34/Rpl17/Rpl9-ps6/Rpl35/Rpl27/Rplp0/Rpl13a/Rpl36a/Rpl39/Rpl41/Rpl24",37
"GO:0015935","GO:0015935","small ribosomal subunit","43/1240","79/12806",1.60493942368885e-23,1.38941898679349e-21,1.26705743975435e-21,"Rps11/Rps9/Rps18/Rps15a/Rps25/Rps5/Mrps25/Mrps18c/Rack1/Rps27a/Mrps24/Mrps23/Rps14/Rps24/Rps6/Mrps33/Rps3/Rpsa/Mrps17/Mrps10/Rps29/Rps27l/Rps16/Fau/Rps21/Mrps6/Mrps35/Rps19/Mrps7/Rps8/Rps23/Mrps16/Rps27rt/Rps10/Rps7/Rps12/Rps15/Chchd1/Aurkaip1/Rps28/Rps18-ps6/Hba-a1/Rps13",43
"GO:0005743","GO:0005743","mitochondrial inner membrane","113/1240","482/12806",1.03756339017567e-19,7.85954268058068e-18,7.16737868213454e-18,"Sdhd/Ndufa11/Ndufb2/Mrpl2/Tmem242/Mrpl52/Timm23/Ndufa2/Cox6c/Mrps25/Mrpl32/Atp5e/Mrps18c/Coa3/Cox7c/Mrpl58/Uqcr11/Timm13/Mrps24/Timm9/Atp5mpl/Tmem14c/Ndufs6/Ndufs4/Mrpl57/Slc25a32/Ndufb9/Mrpl13/Ndufa6/Smdt1/Ndufb4/Mrps23/Mrpl14/Mrpl28/Uqcc2/Cox7a2l/Mrpl27/Mrpl11/Ndufb8/Higd2a/Maip1/Ndufb3/Bok/Mpc2/Timm10/Ndufaf5/Dnajc19/Cibar1/Coq3/Dmac1/Hmgcl/Slc25a33/Mrpl20/Grpel1/Coq2/Mrpl1/Ndufa4/Mrps33/Mrpl53/Mrpl46/Tmem126a/Ndufc2/Mrpl48/Rps3/Mrpl17/Cox7b/Cox4i1/Cox7a2/Gadd45gip1/Mrpl15/Ndufb7/Mrps17/Atp5h/Mrps10/Mrpl54/Ndufa13/Mrpl41/Coa8/Higd1a/Atp5j2/Atp5l/Timm8b/Atpsckmt/Mrpl12/Mrps6/Ndufb10/Mrps35/Maob/Ndufa7/Immp1l/Uqcrq/Mrps7/Micos13/Mrps16/Ndufaf6/Micos10/Atp5k/Mtln/Uqcr10/Ndufs8/Smim20/1190007I07Rik/Chchd1/Uqcrh/Aurkaip1/Romo1/Tmem256/Ndufb6/Atp5md/Uqcc3/Gpx4/Timm10b/Cox16",113
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","28/1240","46/12806",1.53906292005014e-17,1.03630236616709e-15,9.45038635118505e-16,"Rps11/Rps9/Rps18/Rps15a/Rps25/Rps5/Rps27a/Rps14/Rps24/Rps6/Rps3/Rpsa/Rps29/Rps27l/Rps16/Fau/Rps21/Rps19/Rps8/Rps23/Rps27rt/Rps10/Rps7/Rps12/Rps15/Rps28/Hba-a1/Rps13",28
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","48/1240","137/12806",4.36381985564889e-16,2.64447483252322e-14,2.41158465706912e-14,"Sdhd/Ndufa11/Ndufb2/Timm23/Ndufa2/Cox6c/Atp5e/Cox7c/Uqcr11/Timm9/Atp5mpl/Ndufs6/Ndufs4/Ndufb9/Ndufa6/Smdt1/Ndufb4/Ndufb8/Ndufb3/Timm10/Dnajc19/Dmac1/Grpel1/Ndufa4/Ndufc2/Cox7b/Cox4i1/Cox7a2/Ndufb7/Atp5h/Ndufa13/Atp5j2/Atp5l/Ndufb10/Ndufa7/Immp1l/Uqcrq/Micos13/Micos10/Atp5k/Uqcr10/Ndufs8/Uqcrh/Romo1/Ndufb6/Atp5md/Uqcc3/Timm10b",48
