"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","GO:0003735","structural constituent of ribosome","92/1210","156/12561",1.57437851612708e-53,1.28154411212745e-50,1.23795868583888e-50,"Rpl13/Mrpl2/Rps11/Rpl8/Rps9/Rplp1/Rps18/Rps15a/Rps25/Mrpl52/Rpl15/Rps5/Mrps25/Mrpl32/Mrps18c/Rpl19/Rps27a/Mrps24/Mrpl57/Mrpl13/Mrps23/Mrpl14/Mrpl28/Mrpl27/Rps14/Mrpl11/Rps24/Rplp2/Rps6/Rpl22/Mrpl20/Mrpl1/Mrpl46/Rps3/Mrpl17/Rpsa/Mrpl15/Mrps17/Mrps10/Rps29/Mrpl54/Rps27l/Mrpl41/Rps16/Rpl10a/Fau/Rpl12/Rps21/Rpl22l1/Mrpl12/Mrps6/Mrps35/Rps19/Rpl37/Ndufa7/Rpl18a/Rpl37a/Rpl27a/Mrps7/Rpl9/Rps8/Rps23/Rpl36al/Mrps16/Rps27rt/Rps10/Rpl38/Rpl32/Rpl36/Rpl5/Rpl30/Rpl18/Rpl11/Rpl35a/Rpl26/Rps7/Rps12/Rpl34/Rpl17/Rpl9-ps6/Rpl35/Rpl27/Rps15/Rplp0/Rps28/Rpl13a/Gm2000/Rpl36a/Rpl39/Rps13/Rpl41/Rpl24",92
"GO:0005198","GO:0005198","structural molecule activity","122/1210","451/12561",2.33747930388113e-27,9.51354076679622e-25,9.18998442104846e-25,"Rpl13/Mrpl2/Rps11/Rpl8/Rps9/Rplp1/Arpc5/Rps18/Rps15a/Rps25/Mrpl52/Rpl15/Rps5/Mrps25/Pcolce2/Mrpl32/Mrps18c/Rpl19/Krt10/Csrp2/Rps27a/Mrps24/Krt36/Sptb/Papln/Mrpl57/Cldn10/Mrpl13/Mrps23/Mrpl14/Mrpl28/Mrpl27/Rps14/Mrpl11/Col17a1/Rps24/Psmd13/Rplp2/Tnnt2/Mal/Tgm3/Rps6/Hmgcl/Rpl22/Mrpl20/Mrpl1/Mrpl46/Rps3/Mrpl17/Gp2/Pllp/Rpsa/Mrpl15/Mrps17/Fras1/Mrps10/Rps29/Mrpl54/Rps27l/Mrpl41/Rims2/Rps16/Rpl10a/Fau/Rpl12/Rps21/Rpl22l1/Col10a1/Mrpl12/Mrps6/Mrps35/Rps19/Rpl37/Ndufa7/Ncmap/Rpl18a/Rpl37a/Rpl27a/Mrps7/Rpl9/Cldn4/Dmbt1/Rps8/Rps23/Rpl36al/Mrps16/Rps27rt/Rps10/Krt15/Rpl38/Rpl32/Rpl36/Spock2/Rpl5/Rpl30/Rpl18/Rpl11/Rpl35a/Rpl26/Rps7/Rps12/Rpl34/Rpl17/Rpl9-ps6/Tubb4a/Rpl35/Rpl27/Rps15/Col23a1/Rplp0/Rps28/Cldn3/Nup62cl/Rpl13a/Gm2000/Arpc4/Rpl36a/Rpl39/Rps13/Col6a5/Rpl41/Rpl24",122
"GO:0016209","GO:0016209","antioxidant activity","23/1210","63/12561",7.39033339338588e-09,2.00524379407204e-06,1.93704527889798e-06,"Nqo1/Upk3bl/Sod1/Txnl1/Prdx5/Gsto1/Prdx4/Mgst3/Gpx7/Prdx1/Gsta4/Gstt2/Selenof/Selenow/Hbb-b1/S100a8/S100a9/Alox5ap/Gpx1/Hba-a1/Hbb-bt/Mgst2/Gpx4",23
"GO:0019843","GO:0019843","rRNA binding","25/1210","74/12561",1.04129210742111e-08,2.11902943860197e-06,2.04696106379887e-06,"Rps11/Rpl8/Rps9/Rps18/Rps5/Gtf3a/Mrps18c/Rpl19/Rps14/Mrpl11/Fastkd2/Mrpl20/Rps3/Mrps17/Rpl12/Mrps6/Rpl37/Rpl37a/Mrps7/Rpl9/Rpl5/Rpl11/Rpl17/Rplp0/Rps13",25
"GO:0004601","GO:0004601","peroxidase activity","16/1210","42/12561",7.36092659771981e-07,0.000119835885010879,0.000115760256178878,"Upk3bl/Prdx5/Prdx4/Mgst3/Gpx7/Prdx1/Gsta4/Gstt2/Selenof/Hbb-b1/Alox5ap/Gpx1/Hba-a1/Hbb-bt/Mgst2/Gpx4",16
"GO:0009055","GO:0009055","electron transfer activity","20/1210","63/12561",9.58037204548191e-07,0.000129973714083705,0.000125553296806579,"Etfb/Cyba/Ndufa2/Cox6c/Cox7c/Uqcr11/Ndufs4/Cox7a2l/Ndufb8/Ndufc2/Cox7b/Cox4i1/Cox7a2/Ndufb7/Ndufa7/Uqcrq/Nqo2/Ndufs8/Uqcrh/Fdx2",20
"GO:0048306","GO:0048306","calcium-dependent protein binding","20/1210","65/12561",1.66834186057141e-06,0.000194004324929304,0.000187406221029601,"S100a3/S100a6/Pdcd6/Anxa1/Cplx2/Fcna/S100a11/Anxa3/Syt8/Anxa2/Syt1/S100a10/S100a14/S100a13/S100a1/S100a8/S100a9/S100a7a/S100a16/Tnnc1",20
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","16/1210","45/12561",2.16256769877617e-06,0.000195592234089311,0.000188940125261497,"Ndufa2/Cox6c/Cox7c/Uqcr11/Ndufs4/Cox7a2l/Ndufb8/Ndufc2/Cox7b/Cox4i1/Cox7a2/Ndufb7/Ndufa7/Uqcrq/Ndufs8/Uqcrh",16
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","16/1210","45/12561",2.16256769877617e-06,0.000195592234089311,0.000188940125261497,"Upk3bl/Prdx5/Prdx4/Mgst3/Gpx7/Prdx1/Gsta4/Gstt2/Selenof/Hbb-b1/Alox5ap/Gpx1/Hba-a1/Hbb-bt/Mgst2/Gpx4",16
"GO:0016655","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","13/1210","34/12561",7.74886756033948e-06,0.000584717214799226,0.000564830931663031,"Nqo1/Ndufa2/Akr1c13/Ndufs4/Cbr3/Ndufb8/Ndufc2/Cbr4/Ndufb7/Ndufa7/Nqo2/Cbr1/Ndufs8",13
"GO:0003955","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","11/1210","25/12561",7.90158398377332e-06,0.000584717214799226,0.000564830931663031,"Nqo1/Ndufa2/Ndufs4/Cbr3/Ndufb8/Ndufc2/Cbr4/Ndufb7/Ndufa7/Nqo2/Ndufs8",11
"GO:0061134","GO:0061134","peptidase regulator activity","32/1210","156/12561",2.88172905303688e-05,0.00184696862601567,0.00178415306302044,"Cstb/Pcolce2/Slpi/Wfdc2/Rack1/Papln/Prdx5/Bad/Psmd14/Spink4/Anxa2/Ctsh/Ngp/Rps27l/Serpinb6b/Wfdc12/Serpinb1a/Prss22/Pbp2/Wfdc21/Aph1c/Spink6/Serpina9/Serpinb6a/Tnfaip8/Serpinb5/Wfdc17/Nlrp1b/Ctla2b/Serpina3i/Cstdc4/Csta2",32
