"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001533","GO:0001533","cornified envelope","13/685","39/12806",5.84789462865127e-08,3.2163420457582e-05,2.94857002855154e-05,"Stfa2/Anxa1/Pkp1/Evpl/Sprr2i/Krt14/Lgals3/Sprr2f/S100a9/Stfa2l1/Cstdc5/Cstdc4/Csta2",13
"GO:1990351","GO:1990351","transporter complex","27/685","194/12806",4.65980169545108e-06,0.00128144546624905,0.0011747605326953,"Ndufb2/Ndufa2/Ndufs7/Uqcr11/Timm13/Ndufa6/Smdt1/Cacna1h/Abcg8/Ndufb8/Atp10a/Cachd1/Trpv6/Pkd1/Ndufb7/Pkd2l1/Abcg5/Ndufa7/Uqcrq/Amigo1/Atp10b/Uqcr10/Ndufs8/Scn2b/Ndufb6/Timm10b/Kcnb2",27
"GO:0005840","GO:0005840","ribosome","27/685","214/12806",2.87571834825355e-05,0.00527215030513152,0.00483322487302966,"Rplp1/Mrpl52/Mrpl57/Mrpl14/Mrpl28/Rps24/Ppargc1a/Mrpl53/Mrpl46/Mrpl54/Larp1/Rpl10a/Fau/Rpl12/Rps21/Ndufa7/Dhx9/Rpl18a/Rpl27a/Rpl36/Rpl30/Rpl9-ps6/Rps18-ps6/Hba-a1/Rpl13a/Rps13/Rpl41",27
"GO:1902495","GO:1902495","transmembrane transporter complex","23/685","173/12806",4.88226283427683e-05,0.00671311139713064,0.00615422078320684,"Ndufb2/Ndufa2/Ndufs7/Uqcr11/Ndufa6/Smdt1/Cacna1h/Abcg8/Ndufb8/Cachd1/Trpv6/Pkd1/Ndufb7/Pkd2l1/Abcg5/Ndufa7/Uqcrq/Amigo1/Uqcr10/Ndufs8/Scn2b/Ndufb6/Kcnb2",23
"GO:0015934","GO:0015934","large ribosomal subunit","17/685","111/12806",8.0077707695343e-05,0.00880854784648773,0.00807520462864617,"Rplp1/Mrpl52/Mrpl57/Mrpl14/Mrpl28/Mrpl53/Mrpl46/Mrpl54/Rpl10a/Rpl12/Rpl18a/Rpl27a/Rpl36/Rpl30/Rpl9-ps6/Rpl13a/Rpl41",17
"GO:0022626","GO:0022626","cytosolic ribosome","16/685","102/12806",9.63194355027098e-05,0.0088292815877484,0.00809421221154351,"Rplp1/Rps24/Ppargc1a/Rpl10a/Fau/Rpl12/Rps21/Rpl18a/Rpl27a/Rpl36/Rpl30/Rpl9-ps6/Hba-a1/Rpl13a/Rps13/Rpl41",16
"GO:0031225","GO:0031225","anchored component of membrane","17/685","114/12806",0.000112437297357158,0.0088343590780624,0.00809886698256821,"Rab3c/Gpihbp1/Ly6g/Ly6i/Psca/Gad2/Bst1/Xpnpep2/Itln1/Rtn4rl1/Plaur/Gas1/Ceacam2/Cntn1/Ly6m/Ly6a/Ly6c1",17
"GO:0044391","GO:0044391","ribosomal subunit","23/685","186/12806",0.000149987685189172,0.0103116533567556,0.00945317121126495,"Rplp1/Mrpl52/Mrpl57/Mrpl14/Mrpl28/Rps24/Mrpl53/Mrpl46/Mrpl54/Rpl10a/Fau/Rpl12/Rps21/Rpl18a/Rpl27a/Rpl36/Rpl30/Rpl9-ps6/Rps18-ps6/Hba-a1/Rpl13a/Rps13/Rpl41",23
"GO:0042788","GO:0042788","polysomal ribosome","8/685","33/12806",0.000270847374094144,0.0165517839724199,0.015173788560362,"Larp1/Rpl10a/Rps21/Dhx9/Rpl18a/Rpl36/Rpl30/Rpl41",8
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","18/685","137/12806",0.000364377503948002,0.0200407627171401,0.0183722973043256,"Ndufb2/Ndufa2/Atp5e/Ndufs7/Uqcr11/Ndufa6/Smdt1/Ndufb8/Dnajc19/Ndufb7/Ndufa7/Uqcrq/Pam16l/Uqcr10/Ndufs8/Romo1/Ndufb6/Timm10b",18
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","10/685","54/12806",0.000505468893640757,0.0216452363705719,0.0198431927684286,"Rplp1/Rpl10a/Rpl12/Rpl18a/Rpl27a/Rpl36/Rpl30/Rpl9-ps6/Rpl13a/Rpl41",10
"GO:0070469","GO:0070469","respirasome","13/685","85/12806",0.000547906017853581,0.0216452363705719,0.0198431927684286,"Ndufb2/Ndufa2/Ndufs7/Uqcr11/Ndufa6/Ndufb8/Ndufb7/Higd1a/Ndufa7/Uqcrq/Uqcr10/Ndufs8/Ndufb6",13
"GO:1904090","GO:1904090","peptidase inhibitor complex","5/685","14/12806",0.000576492852738022,0.0216452363705719,0.0198431927684286,"Stfa2/Stfa2l1/Cstdc5/Cstdc4/Csta2",5
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","9/685","46/12806",0.000629679603507547,0.0216452363705719,0.0198431927684286,"Ndufb2/Ndufa2/Ndufs7/Ndufa6/Ndufb8/Ndufb7/Ndufa7/Ndufs8/Ndufb6",9
"GO:0030964","GO:0030964","NADH dehydrogenase complex","9/685","46/12806",0.000629679603507547,0.0216452363705719,0.0198431927684286,"Ndufb2/Ndufa2/Ndufs7/Ndufa6/Ndufb8/Ndufb7/Ndufa7/Ndufs8/Ndufb6",9
"GO:0045271","GO:0045271","respiratory chain complex I","9/685","46/12806",0.000629679603507547,0.0216452363705719,0.0198431927684286,"Ndufb2/Ndufa2/Ndufs7/Ndufa6/Ndufb8/Ndufb7/Ndufa7/Ndufs8/Ndufb6",9
"GO:0098803","GO:0098803","respiratory chain complex","12/685","79/12806",0.000942473578410929,0.0304917922427065,0.0279532411181941,"Ndufb2/Ndufa2/Ndufs7/Uqcr11/Ndufa6/Ndufb8/Ndufb7/Ndufa7/Uqcrq/Uqcr10/Ndufs8/Ndufb6",12
"GO:0005746","GO:0005746","mitochondrial respirasome","12/685","80/12806",0.00105607439419544,0.0322689398226386,0.029582434784773,"Ndufb2/Ndufa2/Ndufs7/Uqcr11/Ndufa6/Ndufb8/Ndufb7/Ndufa7/Uqcrq/Uqcr10/Ndufs8/Ndufb6",12
