"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048306","GO:0048306","calcium-dependent protein binding","15/664","65/12561",1.05392302394556e-06,0.000774633422599989,0.000745511865359388,"S100a6/Pdcd6/Nrxn1/Anxa1/Cplx2/Fcna/Syt1/S100g/S100a10/S100a14/S100a13/S100a1/S100a8/S100a9/S100a16",15
"GO:0005198","GO:0005198","structural molecule activity","47/664","451/12561",6.15681606984481e-06,0.00226262990566797,0.0021775686310188,"Rplp1/Mrpl52/Pcolce2/Myh11/Lama2/Sptb/Mrpl57/Cldn10/Krt6b/Mrpl14/Mrpl28/Fbn2/Col17a1/Rps24/Sntg1/Mrpl46/Pllp/Col6a4/Evpl/Fras1/Mrpl54/Abi3bp/Rims2/Shank2/Rpl10a/Fau/Rpl12/Rps21/Ndufa7/Rpl18a/Krt14/Rpl27a/Krt87/Lamb2/Krt15/Rpl36/Rpl30/Krt4/Rpl9-ps6/Sptbn2/Ank3/Cldn3/Nup62cl/Rpl13a/Rps13/Col6a5/Rpl41",47
"GO:0033130","GO:0033130","acetylcholine receptor binding","6/664","15/12561",7.07914870883812e-05,0.0099586261172922,0.0095842416767925,"Ly6i/Psca/Nrxn1/Ly6g2/Ly6a/Ly6c1",6
"GO:0003735","GO:0003735","structural constituent of ribosome","21/664","156/12561",7.22494242693862e-05,0.0099586261172922,0.0095842416767925,"Rplp1/Mrpl52/Mrpl57/Mrpl14/Mrpl28/Rps24/Mrpl46/Mrpl54/Rpl10a/Fau/Rpl12/Rps21/Ndufa7/Rpl18a/Rpl27a/Rpl36/Rpl30/Rpl9-ps6/Rpl13a/Rps13/Rpl41",21
"GO:0061134","GO:0061134","peptidase regulator activity","21/664","156/12561",7.22494242693862e-05,0.0099586261172922,0.0095842416767925,"Cstb/Pcolce2/Slpi/Naip1/Stfa2/Prdx5/Bad/Aplp2/Ctsh/Ngp/Prss22/Pbp2/Wfdc21/Serpina9/Stfa2l1/Wfdc17/Nlrp1b/Cstdc5/Serpina3i/Cstdc4/Csta2",21
"GO:0030550","GO:0030550","acetylcholine receptor inhibitor activity","5/664","10/12561",8.20435957967596e-05,0.0099586261172922,0.0095842416767925,"Ly6i/Ly6g2/Ly6m/Ly6a/Ly6c1",5
"GO:0030547","GO:0030547","signaling receptor inhibitor activity","7/664","22/12561",9.48440582599257e-05,0.0099586261172922,0.0095842416767925,"Ly6i/Dkkl1/Ccl5/Ly6g2/Ly6m/Ly6a/Ly6c1",7
"GO:0004888","GO:0004888","transmembrane signaling receptor activity","39/664","396/12561",0.000130297932086142,0.0119711225104143,0.0115210803107746,"Itgb2l/Kit/Adgrl1/Fcrls/Celsr1/Sema6a/Ptch1/Trem2/Nrxn1/Il1r2/Cr2/Notch1/Ephb6/Plxna1/Lrp6/Clec2h/Fgfr2/Il13ra2/Ctsh/Pkd1/Ramp1/Pkd2l1/Il17rd/Lgr6/Tlr9/Fpr1/Cd300lf/Gpr55/Fpr2/Plxnb1/Gpr182/Sphk1/Unc5d/Sort1/Pira11/Plxnc1/Ighm/Ackr4/Mrgpra2b",39
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","16/664","111/12561",0.000231379028634357,0.0171004096865759,0.0164575371419677,"Cstb/Slpi/Naip1/Stfa2/Prdx5/Aplp2/Ngp/Pbp2/Wfdc21/Serpina9/Stfa2l1/Wfdc17/Cstdc5/Serpina3i/Cstdc4/Csta2",16
"GO:0003955","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","7/664","25/12561",0.000232658635191508,0.0171004096865759,0.0164575371419677,"Ndufa2/Ndufs7/Cbr3/Ndufb8/Ndufb7/Ndufa7/Ndufs8",7
