"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.63907786784048e-16,4.0976946696012e-15,1.04762648849882,0.479681435042911,2.60679876663756,225,"c(`67126` = ""Atp5e"", `67264` = ""Ndufb8"", `22272` = ""Uqcrq"", `625249` = ""Gpx4"", `66416` = ""Ndufa7"", `66152` = ""Uqcr10"", `66594` = ""Uqcr11"", `30057` = ""Timm8b"", `69772` = ""Bdh2"", `66576` = ""Uqcrh"", `114143` = ""Atp6v0b"", `27425` = ""Atp5l"", `230075` = ""Ndufb6"", `30055` = ""Timm13"", `68198` = ""Ndufb2"", `17993` = ""Ndufs4"", `66142` = ""Cox7b"", `100041273` = ""Ndufb4c"", `12856` = ""Cox17"", `68194` = ""Ndufb4"", `66916` = ""Ndufb7"", `17991` = ""Ndufa2"", `66419` = ""Mrpl11"", `12867` = ""Cox7c"", `66447` = ""Mgst3"", `12857` = ""Cox4i1"", 
`17992` = ""Ndufa4"", `14297` = ""Fxn"", `66144` = ""Atp6v1f"", `12895` = ""Cpt1b"", `11958` = ""Atp5k"", `27395` = ""Mrpl15"", `66290` = ""Atp6v1g1"", `66495` = ""Ndufb3"", `17713` = ""Grpel1"", `225887` = ""Ndufs8"", `66925` = ""Sdhd"", `12866` = ""Cox7a2"", `30059` = ""Timm10"", `30056` = ""Timm9"", `68197` = ""Ndufc2"", `71679` = ""Atp5h"", `12864` = ""Cox6c"", `57423` = ""Atp5j2"", `407785` = ""Ndufs6"", `68202` = ""Ndufa5"", `12868` = ""Cox8a"", `110826` = ""Etfb"", `93747` = ""Echs1"", `72900` = ""Ndufv2"", `54405` = ""Ndufa1"", `55951` = ""Mpc1"", 
`228033` = ""Atp5g3"", `110323` = ""Cox6b1"", `15108` = ""Hsd17b10"", `67130` = ""Ndufa6"", `11950` = ""Atp5pb"", `20463` = ""Cox7a2l"", `66046` = ""Ndufb5"", `211253` = ""Mtrf1"", `12861` = ""Cox6a1"", `66377` = ""Ndufc1"", `12858` = ""Cox5a"", `28080` = ""Atp5o"", `12859` = ""Cox5b"", `68375` = ""Ndufa8"", `21854` = ""Timm17a"", `14148` = ""Fdx1"", `11949` = ""Atp5c1"", `53375` = ""Mtx2"", `11957` = ""Atp5j"", `64655` = ""Mrps22"", `75406` = ""Ndufs7"", `24030` = ""Mrps12"", `94065` = ""Mrpl34"", `12028` = ""Bax"", `223696` = ""Tomm22"", `18105` = ""Nqo2"", 
`15926` = ""Idh1"", `110842` = ""Etfa"", `12367` = ""Casp3"", `67530` = ""Uqcrb"", `59054` = ""Mrps30"", `69833` = ""Polr2f"", `381511` = ""Pdp1"", `66091` = ""Ndufa3"", `108664` = ""Atp6v1h"", `11974` = ""Atp6v0e"", `67460` = ""Decr1"", `57279` = ""Slc25a20"", `67563` = ""Ciao3"", `67994` = ""Mrps11"", `67680` = ""Sdhb"", `67003` = ""Uqcrc2"", `66445` = ""Cyc1"", `110446` = ""Acat1"", `73078` = ""Pmpcb"", `69802` = ""Cox11"", `64704` = ""Htra2"", `13063` = ""Cycs"", `66525` = ""Timm50"", `56451` = ""Suclg1"", `70316` = ""Ndufab1"", `27060` = ""Tcirg1"", 
`66694` = ""Uqcrfs1"", `11984` = ""Atp6v0c"", `12034` = ""Phb2"", `11973` = ""Atp6v1e1"", `15481` = ""Hspa8"", `11757` = ""Prdx3"")"
"2","HALLMARK_MYC_TARGETS_V1",5.09641837478242e-08,5.09641837478242e-07,0.719512826338911,0.371868685570804,2.03016860402421,238,"c(`68436` = ""Rpl34"", `27050` = ""Rps3"", `18103` = ""Nme2"", `14694` = ""Rack1"", `66094` = ""Lsm7"", `67097` = ""Rps10"", `107771` = ""Bmyc"", `26444` = ""Psma7"", `15528` = ""Hspe1"", `11837` = ""Rplp0"", `26443` = ""Psma6"", `69692` = ""Hddc2"", `19934` = ""Rpl22"", `68011` = ""Snrpg"", `107686` = ""Snrpd2"", `52530` = ""Nhp2"", `20103` = ""Rps5"", `15452` = ""Hprt"", `79059` = ""Nme3"", `55949` = ""Eef1b2"", `19384` = ""Ran"", `20641` = ""Snrpd1"", `13682` = ""Eif4a2"", `381404` = ""Pabpc1l"", `67204` = ""Eif2s2"", `13877` = ""Erh"", `15982` = ""Ifrd1"", 
`59029` = ""Psmd14"", `381760` = ""Ssbp1"", `22327` = ""Vbp1"", `53381` = ""Prdx4"", `19899` = ""Rpl18"", `51788` = ""H2az1"", `59001` = ""Pole3"", `18477` = ""Prdx1"", `20104` = ""Rps6"", `21672` = ""Prdx2"", `18673` = ""Phb"", `18655` = ""Pgk1"", `268373` = ""Ppia"", `77605` = ""H2az2"", `12729` = ""Clns1a"", `12464` = ""Cct4"", `12858` = ""Cox5a"", `11431` = ""Acp1"", `26446` = ""Psmb3"", `18393` = ""Orc2"", `12785` = ""Cnbp"", `19166` = ""Psma2"", `11777` = ""Ap3s1"", `27366` = ""Txnl4a"", `13665` = ""Eif2s1"", `56150` = ""Mad2l1"", `233073` = ""U2af1l4"", 
`18102` = ""Nme1"", `19935` = ""Mrpl23"", `231872` = ""Aimp2"", `28126` = ""Nop16"", `67089` = ""Psmc6"", `68981` = ""Snrpa1"", `66235` = ""Eif1ax"", `22194` = ""Ube2e1"", `22171` = ""Tyms"", `78523` = ""Mrpl9"", `20383` = ""Srsf3"", `106344` = ""Rfc4"", `67134` = ""Nop56"", `26754` = ""Cops5"", `50995` = ""Uba2"", `26445` = ""Psmb2"", `66445` = ""Cyc1"", `18263` = ""Odc1"", `16898` = ""Rps2"", `67332` = ""Snrpd3"", `26440` = ""Psma1"", `227231` = ""Cps1"", `57296` = ""Psmd8"", `20639` = ""Snrpb2"", `67115` = ""Rpl14"", `53605` = ""Nap1l1"", `12462` = ""Cct3"", 
`66118` = ""Sarnp"", `70316` = ""Ndufab1"", `19988` = ""Rpl6"", `22630` = ""Ywhaq"", `21454` = ""Tcp1"", `12034` = ""Phb2"", `78655` = ""Eif3j1"", `110074` = ""Dut"", `12465` = ""Cct5"", `11757` = ""Prdx3"")"
"3","HALLMARK_DNA_REPAIR",0.000337978149800778,0.00140824229083657,0.49849310876659,0.324639058586222,1.70381349932508,178,"c(`667034` = ""Pnp2"", `625249` = ""Gpx4"", `69168` = ""Bola1"", `17749` = ""Polr2k"", `18103` = ""Nme2"", `66162` = ""Bola2"", `68240` = ""Rpa3"", `12856` = ""Cox17"", `20018` = ""Polr1d"", `235459` = ""Gtf2a2"", `11821` = ""Aprt"", `70456` = ""Mpc2"", `20922` = ""Supt4a"", `66467` = ""Gtf2h5"", `69745` = ""Pold4"", `15452` = ""Hprt"", `79059` = ""Nme3"", `14923` = ""Guk1"", `66420` = ""Polr2e"", `50773` = ""Nt5c"", `69920` = ""Polr2i"", `245841` = ""Polr2h"", `56334` = ""Tmed2"", `78653` = ""Bola3"", `20016` = ""Polr1c"", `107986` = ""Ddb2"", `66979` = ""Pole4"", 
`268395` = ""Mpg"", `64143` = ""Ralb"", `69241` = ""Polr2d"", `56438` = ""Rbx1"", `57813` = ""Tk2"", `107569` = ""Nt5c3"", `108143` = ""Taf9"", `214150` = ""Ago3"", `56520` = ""Nme4"", `18100` = ""Mrpl40"", `18102` = ""Nme1"", `59022` = ""Edf1"", `20021` = ""Polr2c"", `26370` = ""Cetn2"", `67710` = ""Polr2g"", `20918` = ""Eif1"", `99730` = ""Taf13"", `20022` = ""Polr2j"", `69833` = ""Polr2f"", `22171` = ""Tyms"", `72749` = ""Tonsl"", `106344` = ""Rfc4"", `19365` = ""Rad52"", `98985` = ""Clp1"", `24075` = ""Taf10"", `110074` = ""Dut"", `20908` = ""Stx3"", 
`21681` = ""Alyref"", `11486` = ""Ada"", `69263` = ""Rfc3"", `66406` = ""Sac3d1"", `71991` = ""Ercc8"", `18970` = ""Polb"", `66653` = ""Brf2"", `27061` = ""Bcap31"", `229906` = ""Gtf2b"", `105446` = ""Gmpr2"", `53378` = ""Sdcbp"", `76025` = ""Cant1"", `67897` = ""Rnmt"", `16434` = ""Itpa"", `72151` = ""Rfc5"", `66464` = ""Taf12"", `68969` = ""Eif1b"", `19075` = ""Prim1"", `20930` = ""Surf1"", `330959` = ""Snapc5"", `18578` = ""Pde4b"", `13870` = ""Ercc1"", `94223` = ""Dgcr8"", `54208` = ""Arl6ip1"", `58202` = ""Nelfb"", `330192` = ""Vps37b"", `68092` = ""Ncbp2"", 
`69870` = ""Polr3gl"", `14884` = ""Gtf2h1"", `22169` = ""Cmpk2"", `56044` = ""Rala"", `52696` = ""Zwint"", `20384` = ""Srsf5"", `22088` = ""Tsg101"")"
"4","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.00301174742952129,0.0107562408197189,0.431707695803346,0.320216121449873,1.61644668383467,139,"c(`100529082` = ""Gm11127"", `102638047` = ""LOC102638047"", `244183` = ""Trim30b"", `213002` = ""Ifitm6"", `19173` = ""Psmb5"", `211329` = ""Ncoa7"", `16423` = ""Cd47"", `76933` = ""Ifi27l2a"", `67606` = ""Fibin"", `19167` = ""Psma3"", `22038` = ""Plscr1"", `18828` = ""Plscr2"", `100038882` = ""Isg15"", `73711` = ""Mvb12a"", `76681` = ""Trim12a"", `217845` = ""Ifi27l2b"", `15959` = ""Ifit3"", `667370` = ""Ifit3b"", `19124` = ""Procr"", `57444` = ""Isg20"", `19188` = ""Psme2"", `58185` = ""Rsad2"", `94088` = ""Trim6"", `16912` = ""Psmb9"", `19186` = ""Psme1"", 
`23961` = ""Oas1b"", `114643` = ""Oas1c"", `15007` = ""H2-Q10"", `15039` = ""H2-T22"", `23960` = ""Oas1g"", `667823` = ""Trim5"", `56338` = ""Txnip"", `246728` = ""Oas2"", `69550` = ""Bst2"", `17858` = ""Mx2"", `54199` = ""Ccrl2"", `100121` = ""Tdrd7"", `16168` = ""Il15"", `12362` = ""Casp1"", `68487` = ""Tmem140"", `52668` = ""Ifi27"", `14991` = ""H2-M3"", `108670` = ""Epsti1"", `105446` = ""Gmpr2"", `15018` = ""H2-Q7"", `246730` = ""Oas1a"", `70110` = ""Ifi35"", `15040` = ""H2-T23"", `94094` = ""Trim34a"", `16913` = ""Psmb8"", `12370` = ""Casp8"", 
`15013` = ""H2-Q2"", `56791` = ""Ube2l6"", `109032` = ""Sp110"", `71701` = ""Pnpt1"", `15016` = ""H2-Q5"", `234311` = ""Ddx60"")"
"5","HALLMARK_G2M_CHECKPOINT",0.000321012476628862,0.00140824229083657,0.49849310876659,-0.271924808408287,-1.59336384638101,259,"c(`12190` = ""Brca2"", `17219` = ""Mcm6"", `240641` = ""Kif20b"", `21973` = ""Top2a"", `12051` = ""Bcl3"", `15260` = ""Hira"", `209737` = ""Kif15"", `22288` = ""Utrn"", `71521` = ""Pds5a"", `15526` = ""Hspa9"", `16211` = ""Kpnb1"", `16551` = ""Kif11"", `210106` = ""Tent4a"", `19704` = ""Upf1"", `16319` = ""Incenp"", `56403` = ""Syncrip"", `27221` = ""Chaf1a"", `22137` = ""Ttk"", `16201` = ""Ilf3"", `18128` = ""Notch1"", `71375` = ""Foxn3"", `14211` = ""Smc2"", `71653` = ""Shtn1"", `17345` = ""Mki67"", `11987` = ""Slc7a1"", `240057` = ""Syngap1"", 
`18817` = ""Plk1"", `13497` = ""Drp2"", `13555` = ""E2f1"", `17268` = ""Meis1"", `105727` = ""Slc38a1"", `20588` = ""Smarcc1"", `12530` = ""Cdc25a"", `18193` = ""Nsd1"", `21887` = ""Tle3"", `17975` = ""Ncl"", `11350` = ""Abl1"", `56275` = ""Rbm14"", `20842` = ""Stag1"", `16906` = ""Lmnb1"", `68094` = ""Smarcc2"", `26416` = ""Mapk14"", `238799` = ""Tnpo1"", `72119` = ""Tpx2"", `16907` = ""Lmnb2"", `18286` = ""Odf2"", `21969` = ""Top1"", `17216` = ""Mcm2"", `20539` = ""Slc7a5"", `24061` = ""Smc1a"", `17127` = ""Smad3"", `11991` = ""Hnrnpd"", `229841` = ""Cenpe"", 
`226525` = ""Rasal2"", `18131` = ""Notch3"", `14030` = ""Ewsr1"", `26885` = ""Casp8ap2"", `22427` = ""Wrn"", `11352` = ""Abl2"", `21888` = ""Tle4"", `22589` = ""Atrx"", `69601` = ""Dab2ip"", `105988` = ""Espl1"", `16573` = ""Kif5b"", `71514` = ""Sfpq"", `12544` = ""Cdc45"", `74326` = ""Hnrnpr"", `23834` = ""Cdc6"", `234135` = ""Nsd3"", `107823` = ""Nsd2"", `21652` = ""Phf1"", `104394` = ""E2f4"", `12571` = ""Cdk6"", `17536` = ""Meis2"", `16563` = ""Kif2a"", `78733` = ""Troap"", `14055` = ""Ezh1"", `17691` = ""Sik1"", `269966` = ""Nup98"")"
"6","HALLMARK_MYOGENESIS",1.7452459472005e-05,8.72622973600251e-05,0.575610261071129,-0.297280686794679,-1.72628581204664,244,"c(`12372` = ""Casq1"", `14681` = ""Gnao1"", `13848` = ""Ephb6"", `17260` = ""Mef2c"", `13527` = ""Dtna"", `20411` = ""Sorbs1"", `20250` = ""Scd2"", `12322` = ""Camk2a"", `14081` = ""Acsl1"", `216739` = ""Acsl6"", `243743` = ""Plxna4"", `17880` = ""Myh11"", `22288` = ""Utrn"", `58226` = ""Cacna1h"", `78286` = ""Nav2"", `75216` = ""Cep128"", `13400` = ""Dmpk"", `21676` = ""Tead1"", `110078` = ""Pygb"", `215690` = ""Nav1"", `55987` = ""Cpxm2"", `18128` = ""Notch1"", `16511` = ""Kcnh2"", `20249` = ""Scd1"", `208727` = ""Hdac4"", `12062` = ""Bdkrb2"", 
`16773` = ""Lama2"", `18844` = ""Plxna1"", `18126` = ""Nos2"", `11938` = ""Atp2a2"", `68553` = ""Col6a4"", `54601` = ""Foxo4"", `11489` = ""Adam12"", `13497` = ""Drp2"", `12554` = ""Cdh13"", `235611` = ""Plxnb1"", `338367` = ""Myo1d"", `60595` = ""Actn4"", `19645` = ""Rb1"", `18846` = ""Plxna3"", `71960` = ""Myh14"", `13808` = ""Eno3"", `260315` = ""Nav3"", `67784` = ""Plxnd1"", `53313` = ""Atp2a3"", `18845` = ""Plxna2"", `20740` = ""Sptan1"", `12834` = ""Col6a2"", `16795` = ""Large1"", `14245` = ""Lpin1"", `12908` = ""Crat"", `13844` = ""Ephb2"", 
`20399` = ""Sh2b1"", `228366` = ""Large2"", `432516` = ""Myo1a"", `74320` = ""Wdr33"", `18131` = ""Notch3"", `22354` = ""Vipr1"", `17912` = ""Myo1b"", `14387` = ""Gaa"", `76954` = ""Denn2b"", `11515` = ""Adcy9"", `14248` = ""Flii"", `12827` = ""Col4a2"", `11820` = ""App"", `13866` = ""Erbb2"", `13835` = ""Epha1"", `107589` = ""Mylk"", `12826` = ""Col4a1"", `18642` = ""Pfkm"", `102857` = ""Slc6a8"", `20657` = ""Sod3"", `17929` = ""Myom1"", `16416` = ""Itgb3"", `17261` = ""Mef2d"", `12831` = ""Col5a1"", `16419` = ""Itgb5"", `29856` = ""Smtn"", `50795` = ""Sh3bgr"", 
`13846` = ""Ephb4"", `13644` = ""Efs"", `11568` = ""Aebp1"", `216459` = ""Myl6b"", `12819` = ""Col15a1"", `77559` = ""Agl"", `53867` = ""Col5a3"", `11492` = ""Adam19"", `13838` = ""Epha4"", `20893` = ""Bhlhe40"", `83679` = ""Pde4dip"", `11652` = ""Akt2"", `18641` = ""Pfkl"", `12822` = ""Col18a1"", `108058` = ""Camk2d"", `109711` = ""Actn1"", `17913` = ""Myo1c"", `17258` = ""Mef2a"", `11567` = ""Avil"", `64383` = ""Sirt2"", `71994` = ""Cnn3"", `17886` = ""Myh9"", `209773` = ""Dennd2a"", `13867` = ""Erbb3"", `56421` = ""Pfkp"", `77579` = ""Myh10"", 
`16582` = ""Kifc3"", `192897` = ""Itgb4"", `21803` = ""Tgfb1"", `52250` = ""Reep1"", `13528` = ""Dtnb"", `22349` = ""Vil1"", `18129` = ""Notch2"")"
"7","HALLMARK_ESTROGEN_RESPONSE_EARLY",4.52245955471992e-06,3.23032825337137e-05,0.610526878385931,-0.307674769916749,-1.78788754882881,246,"c(`59020` = ""Pdzk1"", `331046` = ""Tgm4"", `432530` = ""Adcy1"", `16665` = ""Krt15"", `22153` = ""Tubb4a"", `268480` = ""Rapgefl1"", `268860` = ""Abat"", `268379` = ""Abca13"", `12614` = ""Celsr1"", `26458` = ""Slc27a2"", `18166` = ""Npy1r"", `384059` = ""Tlr12"", `94249` = ""Slc24a3"", `78286` = ""Nav2"", `320398` = ""Lrig3"", `53883` = ""Celsr2"", `71529` = ""Kazn"", `227377` = ""Farp2"", `58208` = ""Bcl11b"", `20276` = ""Scnn1a"", `215690` = ""Nav1"", `24001` = ""Tiam2"", `23972` = ""Papss2"", `20112` = ""Rps6ka2"", `19401` = ""Rara"", `12398` = ""Cbfa2t3"", 
`15460` = ""Hr"", `77411` = ""Esrp2"", `11987` = ""Slc7a1"", `97998` = ""Deptor"", `621603` = ""Aldh3b2"", `268903` = ""Nrip1"", `17776` = ""Mast2"", `223254` = ""Farp1"", `12043` = ""Bcl2"", `74694` = ""Tbc1d30"", `207596` = ""Thsd4"", `228839` = ""Tgif2"", `11640` = ""Akap1"", `240168` = ""Rasgrp3"", `11835` = ""Ar"", `53791` = ""Tlr5"", `54608` = ""Abhd2"", `76199` = ""Med13l"", `23971` = ""Papss1"", `56177` = ""Olfm1"", `260315` = ""Nav3"", `20185` = ""Ncor1"", `224674` = ""Slc37a1"", `21844` = ""Tiam1"", `16600` = ""Klf4"", `110651` = ""Rps6ka3"", 
`327987` = ""Med13"", `13710` = ""Elf3"", `20539` = ""Slc7a5"", `381269` = ""Mreg"", `20510` = ""Slc1a1"", `52357` = ""Wwc2"", `107094` = ""Rrp12"", `209497` = ""Tmem164"", `17355` = ""Aff1"", `207920` = ""Esrp1"", `211652` = ""Wwc1"", `27410` = ""Abca3"", `11515` = ""Adcy9"", `98952` = ""Fam102a"", `16001` = ""Igf1r"", `14389` = ""Gab2"", `50768` = ""Dlc1"", `16337` = ""Insr"", `16195` = ""Il6st"", `20111` = ""Rps6ka1"", `14302` = ""Frk"", `243362` = ""Stard13"", `93736` = ""Aff4"", `26903` = ""Dysf"", `11512` = ""Adcy6"", `14104` = ""Fasn"", `226101` = ""Myof"", 
`20347` = ""Sema3b"", `230674` = ""Kdm4a"", `14025` = ""Bcl11a"", `16451` = ""Jak1"", `11518` = ""Add1"", `18432` = ""Mybbp1a"", `22393` = ""Wfs1"", `19419` = ""Rasgrp1"", `328329` = ""Mast4"", `16529` = ""Kcnk5"", `17863` = ""Myb"", `11514` = ""Adcy8"", `19334` = ""Rab22a"")"
"8","HALLMARK_APICAL_SURFACE",0.00169819477330916,0.00653151835888138,0.45505986738723,-0.399341382996723,-1.82702106181153,58,"c(`13848` = ""Ephb6"", `68312` = ""Gstm7"", `14451` = ""Gas1"", `320772` = ""Mdga2"", `237847` = ""Rtn4rl1"", `14862` = ""Gstm1"", `64706` = ""Scube1"", `14252` = ""Flot2"", `54667` = ""Atp8b2"", `13844` = ""Ephb2"", `73379` = ""Dcbld2"", `140494` = ""Atp6v0a4"", `110380` = ""Shroom2"", `11820` = ""App"", `13835` = ""Epha1"", `16186` = ""Il2rg"", `242409` = ""Tmem8b"", `13846` = ""Ephb4"", `20312` = ""Cx3cl1"", `16185` = ""Il2rb"", `54670` = ""Atp8b1"", `14864` = ""Gstm3"", `13838` = ""Epha4"", `11630` = ""Crybg1"", `16328` = ""Cep250"", `12189` = ""Brca1"", 
`11487` = ""Adam10"")"
"9","HALLMARK_APICAL_JUNCTION",4.47631664080161e-07,3.73026386733468e-06,0.674962860011025,-0.315872819940523,-1.86182959803451,268,"c(`18488` = ""Cntn3"", `17996` = ""Neb"", `230810` = ""Slc30a2"", `12840` = ""Col9a2"", `67252` = ""Cap2"", `11944` = ""Atp4a"", `18016` = ""Nf2"", `12805` = ""Cntn1"", `18189` = ""Nrxn1"", `17880` = ""Myh11"", `18763` = ""Pkd1"", `12821` = ""Col17a1"", `229715` = ""Amigo1"", `14119` = ""Fbn2"", `12558` = ""Cdh2"", `21873` = ""Tjp2"", `98053` = ""Gtf2f1"", `22324` = ""Vav1"", `16511` = ""Kcnh2"", `64340` = ""Dhx38"", `98660` = ""Atp1a2"", `21828` = ""Thbs4"", `170736` = ""Parvb"", `22329` = ""Vcam1"", `22793` = ""Zyx"", `217207` = ""Dhx8"", `381921` = ""Taok2"", 
`22325` = ""Vav2"", `18175` = ""Nrap"", `60595` = ""Actn4"", `330177` = ""Taok3"", `16367` = ""Irs1"", `57342` = ""Parva"", `14083` = ""Ptk2"", `20779` = ""Src"", `60363` = ""Cldn15"", `14086` = ""Fscn1"", `58235` = ""Nectin1"", `170761` = ""Pdzd3"", `16480` = ""Jup"", `17390` = ""Mmp2"", `71960` = ""Myh14"", `234779` = ""Plcg2"", `12388` = ""Ctnnd1"", `20970` = ""Sdc3"", `26416` = ""Mapk14"", `235130` = ""Adamts15"", `269116` = ""Nfasc"", `18708` = ""Pik3r1"", `94332` = ""Cadm3"", `22330` = ""Vcl"", `74769` = ""Pik3cb"", `14026` = ""Evl"", `216856` = ""Nlgn2"", 
`57278` = ""Bcam"", `12908` = ""Crat"", `54126` = ""Arhgef7"", `71740` = ""Nectin4"", `20336` = ""Exoc4"", `16331` = ""Inpp5d"", `68810` = ""Nexn"", `68188` = ""Sympk"", `18710` = ""Pik3r3"", `13406` = ""Dmp1"", `14677` = ""Gnai1"", `269587` = ""Epb41"", `11504` = ""Adamts1"", `12827` = ""Col4a2"", `110380` = ""Shroom2"", `12385` = ""Ctnna1"", `13866` = ""Erbb2"", `18015` = ""Nf1"", `20163` = ""Rsu1"", `18613` = ""Pecam1"", `232975` = ""Atp1a3"", `242409` = ""Tmem8b"", `93737` = ""Pard6g"", `384783` = ""Irs2"", `216148` = ""Shc2"", `12826` = ""Col4a1"", 
`50915` = ""Grb14"", `12831` = ""Col5a1"", `20564` = ""Slit3"", `18514` = ""Pbx1"", `12387` = ""Ctnnb1"", `100017` = ""Ldlrap1"", `104099` = ""Itga9"", `20312` = ""Cx3cl1"", `18706` = ""Pik3ca"", `26411` = ""Map4k1"", `13204` = ""Dhx15"", `73178` = ""Wasl"", `57257` = ""Vav3"", `99151` = ""Cercam"", `53867` = ""Col5a3"", `18803` = ""Plcg1"", `105827` = ""Amigo2"", `75599` = ""Pcdh1"", `65970` = ""Lima1"", `12560` = ""Cdh3"", `11652` = ""Akt2"", `71978` = ""Ppp2r2a"", `225028` = ""Map4k3"", `109711` = ""Actn1"", `94275` = ""Maged1"", `17886` = ""Myh9"", 
`216965` = ""Taok1"", `13867` = ""Erbb3"", `14678` = ""Gnai2"", `77579` = ""Myh10"", `12737` = ""Cldn1"", `192897` = ""Itgb4"", `103733` = ""Tubg1"", `286940` = ""Flnb"", `54216` = ""Pcdh7"", `64930` = ""Tsc1"", `18645` = ""Pfn2"", `319480` = ""Itga11"", `22637` = ""Zap70"", `16774` = ""Lama3"", `26412` = ""Map4k2"", `71355` = ""Col24a1"", `18516` = ""Pbx3"", `109700` = ""Itga1"", `19211` = ""Pten"", `239096` = ""Cdh24"", `17698` = ""Msn"")"
"10","HALLMARK_KRAS_SIGNALING_DN",9.49943691688491e-11,1.18742961461061e-09,0.839088935621274,-0.394814853553503,-2.22943599701512,209,"c(`67133` = ""Gp2"", `22634` = ""Plagl1"", `93735` = ""Wnt16"", `331046` = ""Tgm4"", `20741` = ""Sptb"", `16665` = ""Krt15"", `230810` = ""Slc30a2"", `64085` = ""Clstn2"", `104271` = ""Tex15"", `11944` = ""Atp4a"", `93874` = ""Pcdhb3"", `56050` = ""Cyp39a1"", `13848` = ""Ephb6"", `13527` = ""Dtna"", `110308` = ""Krt5"", `12614` = ""Celsr1"", `12290` = ""Cacna1e"", `20743` = ""Sptbn2"", `23966` = ""Tenm4"", `22221` = ""Ubp1"", `23965` = ""Tenm3"", `21410` = ""Hnf1b"", `19719` = ""Rfng"", `16688` = ""Krt6b"", `227541` = ""Camk1d"", `14183` = ""Fgfr2"", 
`12873` = ""Cpa3"", `93883` = ""Pcdhb12"", `66106` = ""Smpx"", `15484` = ""Hsd11b2"", `16682` = ""Krt4"", `18772` = ""Pkp1"", `53883` = ""Celsr2"", `21834` = ""Thrb"", `404634` = ""Macroh2a2"", `21405` = ""Hnf1a"", `93876` = ""Pcdhb5"", `12333` = ""Capn1"", `66972` = ""Slc25a23"", `98660` = ""Atp1a2"", `74645` = ""Tent5c"", `93887` = ""Pcdhb16"", `18126` = ""Nos2"", `81879` = ""Tfcp2l1"", `71279` = ""Slc29a3"", `16425` = ""Itih2"", `93882` = ""Pcdhb11"", `546071` = ""Mast3"", `17776` = ""Mast2"", `21415` = ""Tcf7l1"", `93878` = ""Pcdhb7"", `14184` = ""Fgfr3"", 
`18124` = ""Nr4a3"", `20842` = ""Stag1"", `93885` = ""Pcdhb14"", `208922` = ""Cpeb3"", `18227` = ""Nr4a2"", `98682` = ""Mfsd6"", `18604` = ""Pdk2"", `13844` = ""Ephb2"", `93888` = ""Pcdhb17"", `65945` = ""Clstn1"", `70355` = ""Gprc5c"", `100727` = ""Ugt2b34"", `93880` = ""Pcdhb9"", `21833` = ""Thra"", `73647` = ""Capn9"", `12266` = ""C3"", `381022` = ""Kmt2d"", `93890` = ""Pcdhb19"", `18007` = ""Neo1"", `117589` = ""Asb7"", `12827` = ""Col4a2"", `14536` = ""Nr6a1"", `20621` = ""Snn"", `13835` = ""Epha1"", `16687` = ""Krt6a"", `231051` = ""Kmt2c"", 
`214597` = ""Sidt2"", `232975` = ""Atp1a3"", `12826` = ""Col4a1"", `12021` = ""Bard1"", `320007` = ""Sidt1"", `11307` = ""Abcg1"", `12831` = ""Col5a1"", `93875` = ""Pcdhb4"", `14182` = ""Fgfr1"")"
