"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","HALLMARK_OXIDATIVE_PHOSPHORYLATION",3.10342610307346e-12,7.75856525768364e-11,0.898671232061694,0.436197098977968,2.37848318504728,225,"c(`69772` = ""Bdh2"", `66377` = ""Ndufc1"", `66594` = ""Uqcr11"", `30055` = ""Timm13"", `75406` = ""Ndufs7"", `625249` = ""Gpx4"", `22272` = ""Uqcrq"", `68198` = ""Ndufb2"", `66152` = ""Uqcr10"", `12856` = ""Cox17"", `16828` = ""Ldha"", `66416` = ""Ndufa7"", `140494` = ""Atp6v0a4"", `230075` = ""Ndufb6"", `67126` = ""Atp5e"", `66916` = ""Ndufb7"", `225887` = ""Ndufs8"", `114143` = ""Atp6v0b"", `67264` = ""Ndufb8"", `17991` = ""Ndufa2"", `30057` = ""Timm8b"", `12861` = ""Cox6a1"", `66046` = ""Ndufb5"", `67130` = ""Ndufa6"", `17993` = ""Ndufs4"", 
`24030` = ""Mrps12"", `12868` = ""Cox8a"", `66142` = ""Cox7b"", `228033` = ""Atp5g3"", `27425` = ""Atp5l"", `110446` = ""Acat1"", `12895` = ""Cpt1b"", `66447` = ""Mgst3"", `68194` = ""Ndufb4"", `100041273` = ""Ndufb4c"", `66290` = ""Atp6v1g1"", `407785` = ""Ndufs6"", `12867` = ""Cox7c"", `12857` = ""Cox4i1"", `20930` = ""Surf1"", `66576` = ""Uqcrh"", `11958` = ""Atp5k"", `14297` = ""Fxn"", `94065` = ""Mrpl34"", `66419` = ""Mrpl11"", `12866` = ""Cox7a2"", `12864` = ""Cox6c"", `71760` = ""Etnppl"", `66144` = ""Atp6v1f"", `12858` = ""Cox5a"", `68375` = ""Ndufa8"", 
`68197` = ""Ndufc2"", `55951` = ""Mpc1"", `30056` = ""Timm9"", `67994` = ""Mrps11"", `17713` = ""Grpel1"", `12367` = ""Casp3"", `66925` = ""Sdhd"", `66495` = ""Ndufb3"", `12859` = ""Cox5b"", `110826` = ""Etfb"", `170718` = ""Idh3b"", `27395` = ""Mrpl15"", `64655` = ""Mrps22"", `11950` = ""Atp5pb"", `57423` = ""Atp5j2"", `66407` = ""Mrps15"", `110323` = ""Cox6b1"", `57279` = ""Slc25a20"", `12028` = ""Bax"", `11364` = ""Acadm"", `67680` = ""Sdhb"", `68202` = ""Ndufa5"", `13063` = ""Cycs"", `66043` = ""Atp5d"", `93747` = ""Echs1"", `54405` = ""Ndufa1"", 
`64704` = ""Htra2"", `66091` = ""Ndufa3"", `71679` = ""Atp5h"", `11957` = ""Atp5j"", `72947` = ""Phykpl"", `17992` = ""Ndufa4"", `11409` = ""Acads"", `223696` = ""Tomm22"", `20463` = ""Cox7a2l"", `28080` = ""Atp5o"", `108853` = ""Mtrf1l"", `113868` = ""Acaa1a"", `108664` = ""Atp6v1h"", `66525` = ""Timm50"", `56451` = ""Suclg1"", `69802` = ""Cox11"", `11951` = ""Atp5g1"", `70316` = ""Ndufab1"", `66445` = ""Cyc1"", `11974` = ""Atp6v0e"", `30059` = ""Timm10"", `11740` = ""Slc25a5"", `110842` = ""Etfa"", `14148` = ""Fdx1"", `11739` = ""Slc25a4"", `67530` = ""Uqcrb"", 
`67460` = ""Decr1"", `11973` = ""Atp6v1e1"", `11757` = ""Prdx3"", `72900` = ""Ndufv2"", `50799` = ""Slc25a13"", `68349` = ""Ndufs3"", `381511` = ""Pdp1"", `11949` = ""Atp5c1"", `11984` = ""Atp6v0c"", `21854` = ""Timm17a"", `66052` = ""Sdhc"", `73078` = ""Pmpcb"", `22273` = ""Uqcrc1"", `67563` = ""Ciao3"", `66383` = ""Iscu"")"
"2","HALLMARK_INTERFERON_ALPHA_RESPONSE",1.97178979172084e-05,0.000164315815976736,0.575610261071129,0.380024010980574,1.9354417997214,139,"c(`14963` = ""H2-Bl"", `244183` = ""Trim30b"", `15007` = ""H2-Q10"", `213002` = ""Ifitm6"", `667823` = ""Trim5"", `76681` = ""Trim12a"", `19173` = ""Psmb5"", `211329` = ""Ncoa7"", `100529082` = ""Gm11127"", `100038882` = ""Isg15"", `209387` = ""Trim30d"", `76933` = ""Ifi27l2a"", `69550` = ""Bst2"", `18828` = ""Plscr2"", `67606` = ""Fibin"", `57444` = ""Isg20"", `217845` = ""Ifi27l2b"", `54123` = ""Irf7"", `23961` = ""Oas1b"", `73711` = ""Mvb12a"", `94094` = ""Trim34a"", `16423` = ""Cd47"", `23960` = ""Oas1g"", `667370` = ""Ifit3b"", `15959` = ""Ifit3"", 
`58185` = ""Rsad2"", `16912` = ""Psmb9"", `246728` = ""Oas2"", `17858` = ""Mx2"", `231655` = ""Oasl1"", `22038` = ""Plscr1"", `246730` = ""Oas1a"", `114643` = ""Oas1c"", `16913` = ""Psmb8"", `68487` = ""Tmem140"", `54199` = ""Ccrl2"", `19167` = ""Psma3"", `12370` = ""Casp8"", `15018` = ""H2-Q7"", `67775` = ""Rtp4"", `76074` = ""Gbp8"", `108670` = ""Epsti1"", `20343` = ""Sell"", `19186` = ""Psme1"", `224762` = ""Trim31"", `12799` = ""Cnp"", `15040` = ""H2-T23"", `15039` = ""H2-T22"", `94088` = ""Trim6"", `19188` = ""Psme2"", `16168` = ""Il15"", `15013` = ""H2-Q2"", 
`231712` = ""Trafd1"", `15016` = ""H2-Q5"", `19124` = ""Procr"", `16362` = ""Irf1"")"
"3","HALLMARK_INTERFERON_GAMMA_RESPONSE",5.02423932942344e-05,0.000279124407190191,0.557332238758646,0.301119827563315,1.67619774797893,262,"c(`17748` = ""Mt1"", `667034` = ""Pnp2"", `14963` = ""H2-Bl"", `15007` = ""H2-Q10"", `213002` = ""Ifitm6"", `19173` = ""Psmb5"", `14289` = ""Fpr2"", `15930` = ""Ido1"", `18712` = ""Pim1"", `100529082` = ""Gm11127"", `667373` = ""Ifit1bl1"", `100038882` = ""Isg15"", `20304` = ""Ccl5"", `14293` = ""Fpr1"", `76933` = ""Ifi27l2a"", `69550` = ""Bst2"", `18828` = ""Plscr2"", `67606` = ""Fibin"", `57444` = ""Isg20"", `11861` = ""Arl4a"", `14528` = ""Gch1"", `53620` = ""Vamp5"", `217845` = ""Ifi27l2b"", `140795` = ""P2ry14"", `66552` = ""Sppl2a"", `54123` = ""Irf7"", 
`22271` = ""Upp1"", `12183` = ""Bpgm"", `20454` = ""St3gal5"", `20306` = ""Ccl7"", `23960` = ""Oas1g"", `667370` = ""Ifit3b"", `109552` = ""Sri"", `66307` = ""Isoc1"", `15959` = ""Ifit3"", `12363` = ""Casp4"", `58185` = ""Rsad2"", `12367` = ""Casp3"", `16912` = ""Psmb9"", `246728` = ""Oas2"", `17858` = ""Mx2"", `16169` = ""Il15ra"", `231655` = ""Oasl1"", `22038` = ""Plscr1"", `246730` = ""Oas1a"", `21939` = ""Cd40"", `114643` = ""Oas1c"", `16193` = ""Il6"", `16913` = ""Psmb8"", `12575` = ""Cdkn1a"", `14102` = ""Fas"", `223672` = ""Apol9a"", `19167` = ""Psma3"", 
`12370` = ""Casp8"", `15018` = ""H2-Q7"", `67775` = ""Rtp4"", `20296` = ""Ccl2"", `71664` = ""Mettl7b"", `76074` = ""Gbp8"", `12524` = ""Cd86"", `26445` = ""Psmb2"", `14961` = ""H2-Ab1"", `108670` = ""Epsti1"", `19186` = ""Psme1"", `19171` = ""Psmb10"", `224762` = ""Trim31"", `15040` = ""H2-T23"", `22320` = ""Vamp8"", `15039` = ""H2-T22"", `14129` = ""Fcgr1"", `19166` = ""Psma2"", `19188` = ""Psme2"", `20307` = ""Ccl8"", `12515` = ""Cd69"", `60533` = ""Cd274"", `16168` = ""Il15"", `17750` = ""Mt2"", `72925` = ""Marchf1"", `59027` = ""Nampt"", `15013` = ""H2-Q2"", 
`231712` = ""Trafd1"", `15016` = ""H2-Q5"", `16362` = ""Irf1"", `76654` = ""Upp2"", `15957` = ""Ifit1"", `112419` = ""Ifit1bl2"", `72075` = ""Ogfr"", `12362` = ""Casp1"", `24105` = ""Rbck1"", `19255` = ""Ptpn2"", `15900` = ""Irf8"", `80981` = ""Arl4d"", `18641` = ""Pfkl"", `109032` = ""Sp110"", `70110` = ""Ifi35"", `234311` = ""Ddx60"", `30931` = ""Tor1a"", `12494` = ""Cd38"")"
"4","HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY",0.00824383063109228,0.0228995295308119,0.380730400722792,0.38397259962794,1.66711450856304,59,"c(`625249` = ""Gpx4"", `16477` = ""Junb"", `93692` = ""Glrx"", `53381` = ""Prdx4"", `56615` = ""Mgst1"", `67130` = ""Ndufa6"", `20655` = ""Sod1"", `68194` = ""Ndufb4"", `100041273` = ""Ndufb4c"", `110265` = ""Msra"", `22166` = ""Txn1"", `18104` = ""Nqo1"", `14325` = ""Ftl1"", `59041` = ""Stk25"", `109815` = ""Selenos"", `11927` = ""Atox1"", `112406` = ""Egln2"", `70415` = ""Stk26"", `18477` = ""Prdx1"")"
"5","HALLMARK_MTORC1_SIGNALING",6.45424416583716e-05,0.000322712208291858,0.538434096309916,0.297657404354277,1.65581435607743,264,"c(`667034` = ""Pnp2"", `16415` = ""Itgb2l"", `228775` = ""Trib3"", `19173` = ""Psmb5"", `18030` = ""Nfil3"", `11639` = ""Ak4"", `56312` = ""Nupr1"", `94224` = ""Srd5a2"", `18636` = ""Cfp"", `93692` = ""Glrx"", `74747` = ""Ddit4"", `77974` = ""Rdh12"", `16828` = ""Ldha"", `18036` = ""Nfkbib"", `18655` = ""Pgk1"", `53381` = ""Prdx4"", `228026` = ""Pdk1"", `17436` = ""Me1"", `20525` = ""Slc2a1"", `11674` = ""Aldoa"", `14227` = ""Fkbp2"", `15982` = ""Ifrd1"", `14149` = ""Fdxr"", `23789` = ""Coro1b"", `28146` = ""Serp1"", `231070` = ""Insig1"", `107272` = ""Psat1"", 
`100678` = ""Psph"", `66286` = ""Sec11c"", `15528` = ""Hspe1"", `56418` = ""Ykt6"", `67204` = ""Eif2s2"", `12227` = ""Btg2"", `74776` = ""Ppa2"", `319554` = ""Idi1"", `50527` = ""Ero1a"", `67771` = ""Arpc5"", `15452` = ""Hprt"", `19324` = ""Rab1a"", `112407` = ""Egln3"", `68278` = ""Ddx39a"", `12721` = ""Coro1a"", `21991` = ""Tpi1"", `74192` = ""Arpc5l"", `74117` = ""Actr3"", `12450` = ""Ccng1"", `235293` = ""Sc5d"", `15288` = ""Hmbs"", `26941` = ""Slc9a3r1"", `18477` = ""Prdx1"", `56207` = ""Uchl5"", `13806` = ""Eno1"", `59029` = ""Psmd14"", `12575` = ""Cdkn1a"", 
`17872` = ""Ppp1r15a"", `26397` = ""Map2k3"", `22042` = ""Tfrc"", `78925` = ""Srd5a1"", `19167` = ""Psma3"", `268373` = ""Ppia"", `64136` = ""Sdf2l1"", `110391` = ""Qdpr"", `21753` = ""Tes"", `14884` = ""Gtf2h1"", `22146` = ""Tuba1c"", `27275` = ""Nufip1"", `67890` = ""Ufm1"", `18451` = ""P4ha1"", `22359` = ""Vldlr"", `20322` = ""Sord"", `19769` = ""Rit1"", `67895` = ""Ppa1"", `26754` = ""Cops5"", `66105` = ""Ube2d3"", `11951` = ""Atp5g1"", `12317` = ""Calr"", `73166` = ""Tm7sf2"", `69071` = ""Tmem97"", `14433` = ""Gapdh"", `66143` = ""Eef1e1"", `231887` = ""Pdap1"", 
`59027` = ""Nampt"", `27966` = ""Rrp9"", `23997` = ""Psmd13"", `23996` = ""Psmc4"", `242894` = ""Actr3b"", `27053` = ""Asns"", `12406` = ""Serpinh1"", `105675` = ""Ppif"", `67475` = ""Ero1b"", `20527` = ""Slc2a3"", `13595` = ""Ebp"", `67089` = ""Psmc6"", `66997` = ""Psmd12"", `20491` = ""Sla"", `21399` = ""Tcea1"", `17939` = ""Naga"", `21672` = ""Prdx2"", `13361` = ""Dhfr"", `56529` = ""Sec11a"", `18641` = ""Pfkl"", `13198` = ""Ddit3"", `13032` = ""Ctsc"")"
"6","HALLMARK_GLYCOLYSIS",0.000786982174469823,0.00302685451719163,0.477270815362862,0.285231233714523,1.57659111783711,247,"c(`11727` = ""Ang"", `219033` = ""Ang4"", `272411` = ""B3gnt6"", `11639` = ""Ak4"", `17319` = ""Mif"", `70186` = ""Fam162a"", `12739` = ""Cldn3"", `104009` = ""Qsox1"", `22022` = ""Tpst2"", `93692` = ""Glrx"", `74747` = ""Ddit4"", `16828` = ""Ldha"", `12124` = ""Bik"", `110095` = ""Pygl"", `18655` = ""Pgk1"", `12615` = ""Cenpa"", `218271` = ""B4galt7"", `74246` = ""Gale"", `105785` = ""Kdelr3"", `57875` = ""Angptl4"", `78330` = ""Ndufv3"", `20969` = ""Sdc1"", `57444` = ""Isg20"", `21786` = ""Tff3"", `17436` = ""Me1"", `14635` = ""Galk1"", `12740` = ""Cldn4"", 
`20655` = ""Sod1"", `20856` = ""Stc2"", `11674` = ""Aldoa"", `229782` = ""Slc35a3"", `72727` = ""B3gat3"", `19139` = ""Prps1"", `23959` = ""Nt5e"", `22166` = ""Txn1"", `74241` = ""Chpf"", `80879` = ""Slc16a3"", `56375` = ""B4galt4"", `14734` = ""Gpc3"", `50527` = ""Ero1a"", `112407` = ""Egln3"", `16009` = ""Igfbp3"", `66646` = ""Rpe"", `21991` = ""Tpi1"", `14120` = ""Fbp2"", `21881` = ""Tkt"", `13806` = ""Eno1"", `18648` = ""Pgam1"", `15937` = ""Ier3"", `16164` = ""Il13ra1"", `268373` = ""Ppia"", `29858` = ""Pmm1"", `21351` = ""Taldo1"", `22339` = ""Vegfa"", 
`18451` = ""P4ha1"", `22359` = ""Vldlr"", `56752` = ""Aldh9a1"", `18639` = ""Pfkfb1"", `58810` = ""Akr1a1"", `59046` = ""Arpp19"", `67980` = ""Gnpda2"", `14433` = ""Gapdh"", `18563` = ""Pcx"", `66681` = ""Pgm2"", `12534` = ""Cdk1"", `56205` = ""Ensa"", `23996` = ""Psmc4"", `105675` = ""Ppif"", `50799` = ""Slc25a13"", `331026` = ""Gmppb"", `67475` = ""Ero1b"", `54128` = ""Pmm2"", `69080` = ""Gmppa"", `66052` = ""Sdhc"", `54170` = ""Rragc"", `67005` = ""Polr3k"", `24105` = ""Rbck1"", `216558` = ""Ugp2"", `22122` = ""Gfus"", `18641` = ""Pfkl"", `60406` = ""Sap30"", 
`19052` = ""Ppp2ca"", `27376` = ""Slc25a10"", `13179` = ""Dcn"", `76131` = ""Depdc1a"", `76332` = ""Cog2"", `68137` = ""Kdelr1"", `230163` = ""Aldob"")"
"7","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00288294084434646,0.0102962173012374,0.431707695803346,0.26591664099301,1.47981182194462,265,"c(`23849` = ""Klf6"", `107771` = ""Bmyc"", `17940` = ""Naip1"", `16598` = ""Klf2"", `14373` = ""G0s2"", `22113` = ""Phlda2"", `18030` = ""Nfil3"", `15936` = ""Ier2"", `20698` = ""Sphk1"", `23882` = ""Gadd45g"", `20304` = ""Ccl5"", `16477` = ""Junb"", `18793` = ""Plaur"", `11839` = ""Areg"", `17681` = ""Msc"", `227659` = ""Slc2a6"", `20719` = ""Serpinb6a"", `56722` = ""Litaf"", `107885` = ""Mthfs"", `13197` = ""Gadd45a"", `20310` = ""Cxcl2"", `330122` = ""Cxcl3"", `81489` = ""Dnajb1"", `14825` = ""Cxcl1"", `20229` = ""Sat1"", `99929` = ""Tiparp"", 
`14528` = ""Gch1"", `20525` = ""Slc2a1"", `20393` = ""Sgk1"", `20708` = ""Serpinb6b"", `27219` = ""Sgk2"", `56644` = ""Clec7a"", `21807` = ""Tsc22d1"", `13636` = ""Efna1"", `11853` = ""Rhoc"", `18081` = ""Ninj1"", `227613` = ""Tubb4b"", `19252` = ""Dusp1"", `26410` = ""Map3k8"", `12227` = ""Btg2"", `21664` = ""Phlda1"", `11910` = ""Atf3"", `20303` = ""Ccl4"", `21942` = ""Tnfrsf9"", `11852` = ""Rhob"", `12609` = ""Cebpd"", `20311` = ""Cxcl5"", `16169` = ""Il15ra"", `14281` = ""Fos"", `12045` = ""Bcl2a1b"", `12608` = ""Cebpb"", `16193` = ""Il6"", `12575` = ""Cdkn1a"", 
`17133` = ""Maff"", `17872` = ""Ppp1r15a"", `106869` = ""Tnfaip8"", `26397` = ""Map2k3"", `15937` = ""Ier3"", `16175` = ""Il1a"", `54199` = ""Ccrl2"", `20296` = ""Ccl2"", `21950` = ""Tnfsf9"", `224109` = ""Nrros"", `22339` = ""Vegfa"", `12519` = ""Cd80"", `12044` = ""Bcl2a1a"", `11848` = ""Rhoa"", `22359` = ""Vldlr"", `230734` = ""Yrdc"", `18639` = ""Pfkfb1"", `20918` = ""Eif1"", `15200` = ""Hbegf"", `12047` = ""Bcl2a1d"", `20307` = ""Ccl8"", `12981` = ""Csf2"", `20971` = ""Sdc4"", `12515` = ""Cd69"", `75234` = ""Rnf19b"", `71712` = ""Dram1"", `59027` = ""Nampt"", 
`15370` = ""Nr4a1"", `240672` = ""Dusp5"", `16176` = ""Il1b"", `22695` = ""Zfp36"")"
"8","HALLMARK_DNA_REPAIR",0.00361880590496339,0.012062686349878,0.431707695803346,0.27653368992293,1.46302283063683,178,"c(`667034` = ""Pnp2"", `69168` = ""Bola1"", `64143` = ""Ralb"", `625249` = ""Gpx4"", `17749` = ""Polr2k"", `12856` = ""Cox17"", `66162` = ""Bola2"", `11486` = ""Ada"", `214150` = ""Ago3"", `18103` = ""Nme2"", `11821` = ""Aprt"", `20018` = ""Polr1d"", `69745` = ""Pold4"", `56334` = ""Tmed2"", `66420` = ""Polr2e"", `68240` = ""Rpa3"", `235459` = ""Gtf2a2"", `59022` = ""Edf1"", `20930` = ""Surf1"", `69920` = ""Polr2i"", `76025` = ""Cant1"", `18102` = ""Nme1"", `15452` = ""Hprt"", `268395` = ""Mpg"", `70456` = ""Mpc2"", `66467` = ""Gtf2h5"", `57813` = ""Tk2"", 
`79059` = ""Nme3"", `20922` = ""Supt4a"", `22171` = ""Tyms"", `330192` = ""Vps37b"", `107569` = ""Nt5c3"", `23917` = ""Impdh1"", `50773` = ""Nt5c"", `245841` = ""Polr2h"", `78653` = ""Bola3"", `54722` = ""Gsdme"", `14884` = ""Gtf2h1"", `18100` = ""Mrpl40"", `107986` = ""Ddb2"", `20022` = ""Polr2j"", `53378` = ""Sdcbp"", `69241` = ""Polr2d"", `14923` = ""Guk1"", `72151` = ""Rfc5"", `26370` = ""Cetn2"", `99730` = ""Taf13"", `20918` = ""Eif1"", `20016` = ""Polr1c"", `106344` = ""Rfc4"", `56438` = ""Rbx1"", `13870` = ""Ercc1"", `110074` = ""Dut"", `56436` = ""Adrm1"", 
`66653` = ""Brf2"", `66406` = ""Sac3d1"", `66979` = ""Pole4"", `108143` = ""Taf9"", `20021` = ""Polr2c"", `74167` = ""Nudt9"", `72749` = ""Tonsl"", `229906` = ""Gtf2b"", `27061` = ""Bcap31"", `56044` = ""Rala"", `16434` = ""Itpa"", `20908` = ""Stx3"", `19361` = ""Rad51"", `27632` = ""Nelfe"", `66464` = ""Taf12"", `21357` = ""Tarbp2"", `330959` = ""Snapc5"", `18970` = ""Polb"", `24075` = ""Taf10"", `105446` = ""Gmpr2"", `72269` = ""Cda"", `19891` = ""Rpa2"", `20907` = ""Stx1a"", `67710` = ""Polr2g"", `52696` = ""Zwint"", `19718` = ""Rfc2"", `54208` = ""Arl6ip1"", 
`19365` = ""Rad52"", `58202` = ""Nelfb"", `22088` = ""Tsg101"", `69263` = ""Rfc3"", `68969` = ""Eif1b"", `18971` = ""Pold1"", `18578` = ""Pde4b"", `67967` = ""Pold3"", `18538` = ""Pcna"", `67897` = ""Rnmt"", `69870` = ""Polr3gl"", `21681` = ""Alyref"", `56520` = ""Nme4"", `11636` = ""Ak1"", `20384` = ""Srsf5"")"
"9","HALLMARK_MYC_TARGETS_V1",0.00468954657155818,0.013826360422017,0.407017918923954,0.263772613511218,1.45451101655197,238,"c(`107771` = ""Bmyc"", `227231` = ""Cps1"", `16828` = ""Ldha"", `18103` = ""Nme2"", `68436` = ""Rpl34"", `18655` = ""Pgk1"", `66094` = ""Lsm7"", `381404` = ""Pabpc1l"", `53381` = ""Prdx4"", `11837` = ""Rplp0"", `18393` = ""Orc2"", `68011` = ""Snrpg"", `14694` = ""Rack1"", `67097` = ""Rps10"", `52530` = ""Nhp2"", `51788` = ""H2az1"", `15982` = ""Ifrd1"", `27050` = ""Rps3"", `11777` = ""Ap3s1"", `20103` = ""Rps5"", `69692` = ""Hddc2"", `59001` = ""Pole3"", `18102` = ""Nme1"", `19935` = ""Mrpl23"", `15528` = ""Hspe1"", `67115` = ""Rpl14"", `67204` = ""Eif2s2"", 
`20174` = ""Ruvbl2"", `26444` = ""Psma7"", `53379` = ""Hnrnpa2b1"", `78523` = ""Mrpl9"", `68981` = ""Snrpa1"", `11431` = ""Acp1"", `15452` = ""Hprt"", `12858` = ""Cox5a"", `19899` = ""Rpl18"", `19934` = ""Rpl22"", `79059` = ""Nme3"", `19384` = ""Ran"", `22171` = ""Tyms"", `107686` = ""Snrpd2"", `18477` = ""Prdx1"", `13682` = ""Eif4a2"", `20641` = ""Snrpd1"", `23917` = ""Impdh1"", `12729` = ""Clns1a"", `59029` = ""Psmd14"", `55949` = ""Eef1b2"", `13877` = ""Erh"", `17218` = ""Mcm5"", `27756` = ""Lsm2"", `26443` = ""Psma6"", `19988` = ""Rpl6"", `268373` = ""Ppia"", 
`56150` = ""Mad2l1"", `381760` = ""Ssbp1"", `26446` = ""Psmb3"", `20104` = ""Rps6"", `26445` = ""Psmb2"", `22627` = ""Ywhae"", `18972` = ""Pold2"", `22327` = ""Vbp1"", `27366` = ""Txnl4a"", `20639` = ""Snrpb2"", `66235` = ""Eif1ax"", `19166` = ""Psma2"", `106344` = ""Rfc4"", `13665` = ""Eif2s1"", `26754` = ""Cops5"", `12464` = ""Cct4"", `70316` = ""Ndufab1"", `67332` = ""Snrpd3"", `18263` = ""Odc1"", `66445` = ""Cyc1"", `110074` = ""Dut"", `50995` = ""Uba2"", `28126` = ""Nop16"", `11757` = ""Prdx3"", `12534` = ""Cdk1"", `27966` = ""Rrp9"", `23996` = ""Psmc4"", 
`105675` = ""Ppif"", `16898` = ""Rps2"", `66118` = ""Sarnp"")"
"10","HALLMARK_P53_PATHWAY",0.00470096254348577,0.013826360422017,0.407017918923954,0.253934405361695,1.40636651840359,255,"c(`99663` = ""Clca4a"", `75747` = ""Sesn3"", `21987` = ""Tpd52l1"", `319192` = ""H2ac19"", `228775` = ""Trib3"", `16598` = ""Klf2"", `15267` = ""H2ac18"", `54217` = ""Rpl36"", `20698` = ""Sphk1"", `23882` = ""Gadd45g"", `70186` = ""Fam162a"", `56312` = ""Nupr1"", `319164` = ""H2ac6"", `55948` = ""Sfn"", `74747` = ""Ddit4"", `11486` = ""Ada"", `20042` = ""Rps12"", `21953` = ""Tnni2"", `18590` = ""Pdgfa"", `13197` = ""Gadd45a"", `20194` = ""S100a10"", `67941` = ""Rps27l"", `20969` = ""Sdc1"", `20198` = ""S100a4"", `259277` = ""Klk8"", `20229` = ""Sat1"", 
`14694` = ""Rack1"", `13830` = ""Stom"", `12578` = ""Cdkn2a"", `15254` = ""Hint1"", `100043813` = ""Rps27rt"", `14149` = ""Fdxr"", `53619` = ""Blcap"", `72065` = ""Rap2c"", `64058` = ""Perp"", `70484` = ""Slc35d2"", `22271` = ""Upp1"", `21807` = ""Tsc22d1"", `18081` = ""Ninj1"", `68755` = ""Cgrrf1"", `232440` = ""H2aj"", `17246` = ""Mdm2"", `80797` = ""Clca3a2"", `12722` = ""Clca3a1"", `68558` = ""Ankra2"", `12227` = ""Btg2"", `11910` = ""Atf3"", `15461` = ""Hras"", `50708` = ""H1f2"", `16970` = ""Irag2"", `12795` = ""Plk3"", `19899` = ""Rpl18"", 
`76500` = ""Ip6k2"", `12450` = ""Ccng1"", `99709` = ""Clca4b"", `69076` = ""Triap1"", `23853` = ""Def6"", `14281` = ""Fos"", `170742` = ""Sertad3"", `57294` = ""Rps27"", `12575` = ""Cdkn1a"", `14102` = ""Fas"", `17872` = ""Ppp1r15a"", `12579` = ""Cdkn2b"", `15937` = ""Ier3"", `12028` = ""Bax"", `16175` = ""Il1a"")"
