"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu03010","mmu03010","Ribosome - Mus musculus (house mouse)","80/575","129/5779",5.01670932020033e-49,1.5150462147005e-46,1.46276682283736e-46,"270106/27398/27207/26961/76846/56040/20084/267019/75617/66480/20103/75398/68735/19921/78294/68537/68463/68611/94064/20044/66419/20088/67186/20104/19934/66448/94061/27050/27397/16785/27395/66258/64657/20090/67941/20055/19896/14109/269261/66481/68028/56282/121022/20085/67281/76808/19981/26451/50529/20005/20116/66475/66483/66242/100043813/67097/67671/19951/54217/100503670/19946/19899/67025/57808/19941/20115/20042/68436/319195/66489/19942/20054/11837/54127/22121/19982/67248/68052/67945/68193",80
"mmu05171","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)","62/575","189/5779",1.27984575053566e-18,1.93256708330884e-16,1.86588038367567e-16,"270106/27207/26961/76846/56040/20084/267019/75617/66480/20103/19921/78294/20044/20088/67186/20104/19934/27050/16785/20090/67941/20055/19896/14109/269261/66481/68028/20085/67281/76808/19981/26451/20005/20116/66475/66483/100043813/67097/67671/19951/54217/100503670/19946/19899/67025/57808/19941/20115/20042/68436/319195/66489/19942/20054/11837/54127/22121/19982/67248/68052/67945/68193",62
"mmu00190","mmu00190","Oxidative phosphorylation - Mus musculus (house mouse)","39/575","123/5779",1.4298795378883e-11,1.43941206814089e-09,1.38974256840372e-09,"66925/69875/68198/66144/17991/12864/67126/12867/66594/407785/17993/66218/67130/68194/20463/67264/66495/17992/68197/66142/12857/12866/114143/66916/71679/67184/57423/27425/66290/68342/66416/22272/12856/11958/66152/225887/66576/230075/100041273",39
"mmu04714","mmu04714","Thermogenesis - Mus musculus (house mouse)","52/575","209/5779",1.63003830845045e-10,1.23067892288009e-08,1.18821213537046e-08,"66925/69875/68198/17991/12864/67126/52469/12867/66594/216739/432530/407785/17993/66218/67130/68194/66379/20463/67264/66495/69487/20104/56717/19017/17992/68197/66142/12857/12866/66916/71679/67184/57423/27425/68342/66416/12801/68185/22272/68033/12856/76947/11958/67892/66152/225887/66576/75597/230075/208501/100041273/66272",52
"mmu05016","mmu05016","Huntington disease - Mus musculus (house mouse)","57/575","259/5779",3.25980333483389e-09,1.96892121423967e-07,1.90098004999787e-07,"66925/69875/68198/66420/232910/17991/12864/19170/67126/12867/19175/13411/69920/66594/245841/26443/407785/17993/19173/66218/67130/68194/20655/20463/67264/23997/66495/59029/26444/53598/67305/56717/19017/17992/68197/66142/12857/12866/66916/69926/71679/67184/68118/68342/227058/66416/20422/22272/17749/66152/225887/19167/22153/14775/66576/230075/100041273",57
"mmu05208","mmu05208","Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)","45/575","204/5779",1.51339470109472e-07,7.61741999551009e-06,7.35456723163575e-06,"66925/69875/68198/18104/13057/17991/12864/67126/12867/66594/407785/17993/66218/67130/68194/20655/20463/12015/14873/67264/14859/66495/66447/15234/17992/68197/66142/12857/12866/14860/14872/66916/71679/67184/68342/66416/22272/12408/13107/66152/225887/66576/230075/211666/100041273",45
"mmu05012","mmu05012","Parkinson disease - Mus musculus (house mouse)","49/575","235/5779",2.64399430224711e-07,1.12735680993751e-05,1.08845533758345e-05,"66925/69875/68198/17991/12864/19170/67126/12867/19175/66594/78294/26443/407785/17993/19173/66218/67130/68194/20655/20463/67264/23997/66495/59029/26444/22166/17992/16439/68197/66142/12857/12866/66916/71679/67184/110877/72002/68342/109731/66416/20422/22272/66152/225887/19167/22153/66576/230075/100041273",49
"mmu05020","mmu05020","Prion disease - Mus musculus (house mouse)","48/575","229/5779",2.98637565546361e-07,1.12735680993751e-05,1.08845533758345e-05,"12390/66925/69875/68198/13057/17991/12864/19170/67126/12867/19175/66594/26443/407785/17993/19173/66218/67130/68194/20655/20463/12015/67264/23997/66495/59029/18128/26444/17992/16439/68197/66142/12857/12866/66916/71679/67184/68342/66416/20422/22272/66152/225887/19167/22153/66576/230075/100041273",48
"mmu05014","mmu05014","Amyotrophic lateral sclerosis - Mus musculus (house mouse)","57/575","303/5779",1.03376224855006e-06,3.46884665624576e-05,3.34914786957154e-05,"66925/69875/68198/641376/17991/12864/19170/67126/12867/19175/13411/66594/26443/407785/17993/19173/66218/67130/68194/20655/20463/12015/67264/23997/66495/59029/26444/53598/67305/56717/17992/68197/66142/67443/12857/12866/66916/69926/71679/67184/68118/17184/68342/227058/66416/20422/22272/66152/225887/19167/219033/22153/14775/66576/230075/11727/100041273",57
"mmu04723","mmu04723","Retrograde endocannabinoid signaling - Mus musculus (house mouse)","27/575","103/5779",1.58302250923311e-06,4.78072797788398e-05,4.61576036902706e-05,"69875/68198/17991/432530/407785/17993/66218/67130/68194/67264/66495/17992/16439/68197/66066/66916/269060/67184/14700/14710/68342/66416/12801/225887/14707/230075/100041273",27
"mmu05415","mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","38/575","184/5779",7.75491600403352e-06,0.00021290769392892,0.000205560931398783,"66925/69875/68198/13057/17991/12864/67126/12867/66594/407785/17993/17228/66218/67130/68194/20463/67264/66495/70456/56717/17992/68197/66142/12857/12866/210789/66916/71679/67184/68342/19045/66416/22272/66152/225887/66576/230075/100041273",38
"mmu04932","mmu04932","Non-alcoholic fatty liver disease - Mus musculus (house mouse)","30/575","140/5779",3.40780562991714e-05,0.000857631083529146,0.000828036982006182,"66925/69875/68198/17991/12864/12867/66594/407785/17993/66218/67130/68194/20463/67264/66495/17992/68197/66142/12857/12866/66916/67184/68342/66416/22272/66152/225887/66576/230075/100041273",30
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)","59/575","388/5779",0.000469439833577797,0.0109054484415765,0.0105291363482631,"66925/69875/68198/641376/11789/17991/12864/19170/67126/12867/19175/13411/66594/78294/26443/407785/17993/19173/66218/67130/68194/20655/20463/12015/67264/23997/66495/59029/26444/53598/67305/56717/17992/16439/68197/66142/67443/12857/12866/66916/69926/71679/67184/68118/68342/227058/66416/20422/22272/66152/225887/19167/22153/14775/66576/52335/230075/93897/100041273",59
"mmu05010","mmu05010","Alzheimer disease - Mus musculus (house mouse)","50/575","326/5779",0.0010516273766874,0.0226851048399712,0.0219023145370234,"66925/69875/68198/11789/17991/12864/19170/67126/12867/19175/66594/26443/407785/17993/19173/66218/67130/68194/20463/12015/67264/23997/66495/59029/26444/56717/17992/16439/68197/66142/12857/12866/66916/71679/67184/68118/72002/68342/66416/20422/22272/68318/66152/225887/19167/22153/66576/230075/93897/100041273",50
