"","G12D_1","G12D_2","G12D_3","G12DK104Q_1","G12DK104Q_2","G12DK104Q_3","WT_1","WT_2","WT_3"
"ENSMUSG00000000001",12699.684455984,8593.64313821385,14043.6008016748,9347.2966411136,9583.67346192237,9961.31503559433,8288.59623199587,9549.43755470987,7969.90373505485
"ENSMUSG00000000028",312.782169166465,326.399301588571,106.11041680453,402.262675285483,403.609377954682,378.208481686594,387.52131081471,609.054208765792,477.357803999257
"ENSMUSG00000000056",1377.71974530101,1442.23204419294,1763.84900613792,1662.35869739232,1668.72985906054,1631.3608592084,1577.76560907067,1776.12018584441,2283.43670199622
"ENSMUSG00000000058",21067.0094827131,3700.61135471567,12206.9015413106,5951.87766450798,3694.35158267272,4485.76587350029,1824.35458968579,1820.09476971356,1143.22740259328
"ENSMUSG00000000078",36043.1572817187,11169.1797324123,35615.1247494603,19351.8044151025,19702.9792056809,19622.223553871,11650.1030009071,11370.6300923856,5371.07589457213
"ENSMUSG00000000085",935.283636747675,1859.64726118593,1244.8753788599,1207.83645383357,1354.97366022182,1319.23148543307,1367.30218054229,1728.53246550895,1586.82943240586
"ENSMUSG00000000088",11498.3913612566,3041.86670994224,9181.68435143209,4301.10405138239,4579.6389007102,5831.10946354257,3234.06674001815,3616.64422151347,1646.00919383784
"ENSMUSG00000000093",42.7584780291127,93.9759565772192,42.156052064681,68.2790006212288,51.699108587063,61.0601469352642,88.3428965677833,79.601165296407,103.176962211483
"ENSMUSG00000000094",53.3654897549624,167.148866811061,64.8063708766949,98.6744705541979,82.5362354762427,80.2993359417418,70.1386034050923,147.948548238711,122.521900949425
"ENSMUSG00000000120",27.0818938014661,73.1101328518015,21.5653358349592,33.4028420513784,30.0830395413488,43.7635025888726,38.7846020953856,39.3101775981989,100.902867851342
"ENSMUSG00000000127",350.085094533657,369.180971673694,300.114529977816,360.130220549455,373.088039244967,346.436460392454,318.842908921012,398.744065907782,347.76860767355
"ENSMUSG00000000131",773.15221464211,1473.85354909643,1118.38367665689,1288.9985759083,1019.85418641067,844.959518538035,1551.67734787005,1454.58623242957,1881.11852735572
"ENSMUSG00000000134",321.773661863988,931.803758539093,245.243026322757,890.815155961229,776.375046843453,599.545894771154,1111.63146348818,966.872974296006,1102.47721038335
"ENSMUSG00000000142",147.99924183747,2743.38551958183,965.256624728318,1142.02635660218,2022.19565325506,1158.17725255337,1870.70101672604,3628.50814655143,6385.93430724287
"ENSMUSG00000000148",135.553505341395,321.531066506097,70.2205222452353,256.91544530307,201.410815866033,169.369296984847,245.599280306809,253.529067843189,419.650440256246
"ENSMUSG00000000149",386.872560383953,1083.00759814135,317.9569752054,1088.67959372457,881.787055573112,685.67033494559,1034.54124771255,1101.48499280464,1597.82729640236
"ENSMUSG00000000154",946.154144576113,976.468278656229,827.736862902563,1000.60554772272,811.86388864797,1041.492014768,831.058249178492,815.663897544663,702.086126408195
"ENSMUSG00000000157",25.9694101667291,3.53475899226186,40.2249213843516,47.089340783765,157.557494084381,29.8193106176005,3.25495705492456,12.256495487554,1.77188792283952
"ENSMUSG00000000159",6441.98609770116,1872.37688119352,8114.4675499888,2316.86134878053,3056.92379290635,3735.48777698896,1652.07865275878,1706.85980732748,828.49606627192
"ENSMUSG00000000167",135.066074112394,90.5500381584413,149.452214657059,74.5661121466871,117.989704492515,165.915641550883,57.6529014894469,73.60018031271,69.1547243204881
"ENSMUSG00000000168",1293.20033510574,1656.51834891056,901.301322088203,1923.0073070692,1574.61821574738,1416.31420235931,2154.58283290821,2042.36965767158,2045.53400829767
"ENSMUSG00000000171",35463.6211968911,8366.23900410629,51524.8729195849,12179.8374780498,13319.8308147657,18778.8948240475,8900.11437446747,10682.310942589,4936.53820964098
"ENSMUSG00000000184",7171.63132489652,20888.825255236,9402.11799752083,10452.2777805279,11784.7045151871,13371.4192508064,19885.695672869,14129.3959697801,23488.8889529674
"ENSMUSG00000000194",1496.69467378026,1991.7202393561,1705.60156164951,1662.89703124774,1673.87492131191,1570.53105592101,1605.65273906407,1690.45439330087,1929.7040488032
"ENSMUSG00000000204",3248.53432776568,5806.23850513591,9978.59831493163,902.46793153459,15005.6957258764,5368.66645747283,1165.59165296505,1837.10886228782,594.511839962439
"ENSMUSG00000000216",213.806951922923,351.924280951702,630.926305030176,115.521804453903,1117.61758000444,392.032344739338,524.210557314911,159.08812158003,195.138642547027
"ENSMUSG00000000223",13.2132274739225,45.5650595467661,6.52228462613951,29.0786364589728,61.9412923045825,26.6775469450485,45.5946108046343,40.4304517750112,86.7159797788324
"ENSMUSG00000000244",173.555145061343,1710.67879846635,764.052811582701,356.192717427078,927.371945664204,873.824875019747,314.129785129263,244.056793772114,191.37385138998
"ENSMUSG00000000253",250.724221371841,333.22933834157,561.991485957233,335.389580708119,417.937653348569,437.289675106721,493.163831623498,582.201428217713,691.844587146822
"ENSMUSG00000000266",510.807616974225,984.775365652274,636.984197737526,741.671341651788,878.555758337349,605.416141125303,1219.57516601317,1050.8277593996,1464.50606226872
"ENSMUSG00000000275",2986.42134613931,6814.61603906493,4124.14647800937,3401.80714560582,5914.37266932361,3919.96433556454,4070.87741801037,3846.24422456854,4248.36674307323
"ENSMUSG00000000276",253.67256705136,333.816111247301,242.556941099726,286.823333975619,382.126104803372,210.586616480059,412.960978892607,348.297502819808,367.658804661513
"ENSMUSG00000000278",1847.92505259573,1827.02003492159,1046.06099843577,2469.99053775727,1474.80098754827,1891.84552904379,1764.60027242452,1459.88447085605,3024.8799770952
"ENSMUSG00000000282",150.790395084249,672.806240191432,144.256238321275,481.340389315429,482.475064812545,298.650189595615,566.932551613217,558.982189770157,776.945638409221
"ENSMUSG00000000290",761.490562196479,1255.16394738843,503.708523186578,1206.59210959306,1466.61902024667,1239.73375626899,1220.35657329182,1027.07196818763,1747.1487618015
"ENSMUSG00000000295",3661.88593328479,882.296771437943,5447.5525215821,1350.61558852398,1381.70863693083,1939.31042631057,754.891070677733,988.704874840161,600.38291693327
"ENSMUSG00000000296",26.6024142898306,54.8277423381911,238.896465901996,79.8104981448052,46.573015760354,51.2244942256212,0,4.51734606584461,3.60904033952885
