"","G12D_1","G12D_2","G12D_3","G12DK104Q_1","G12DK104Q_2","G12DK104Q_3","WT_1","WT_2","WT_3"
"ENSMUSG00000000001",8742,9138,11691,9244,9846,9980,10313,10753,9171
"ENSMUSG00000000028",228,346,92,382,420,359,470,713,535
"ENSMUSG00000000056",967,1558,1516,1672,1694,1685,1992,1978,2363
"ENSMUSG00000000058",14497,3945,10161,5906,3794,4447,2293,2058,1304
"ENSMUSG00000000078",24449,11951,29158,19147,20202,19572,14644,12931,6249
"ENSMUSG00000000085",641,2042,899,1230,1330,1278,1803,1903,2077
"ENSMUSG00000000088",7371,3186,7713,4237,4702,6084,4012,4158,1939
"ENSMUSG00000000093",31,96,39,68,55,64,99,86,112
"ENSMUSG00000000094",37,176,56,97,85,82,85,165,139
"ENSMUSG00000000120",19,76,19,33,31,45,46,44,113
"ENSMUSG00000000127",227,392,237,361,386,354,405,461,411
"ENSMUSG00000000131",411,1884,407,1350,1294,832,2272,2035,2838
"ENSMUSG00000000134",247,1027,209,895,766,535,1378,1046,1289
"ENSMUSG00000000142",110,3151,570,1224,1903,1132,2348,4562,8143
"ENSMUSG00000000148",96,338,60,253,214,170,292,282,475
"ENSMUSG00000000149",278,1120,284,1079,919,706,1205,1212,1766
"ENSMUSG00000000154",614,1032,688,1050,830,1034,1014,945,818
"ENSMUSG00000000157",18,4,35,40,165,31,4,14,2
"ENSMUSG00000000159",4445,2003,6759,2296,3100,3719,2010,1928,980
"ENSMUSG00000000167",106,104,114,81,122,141,69,81,80
"ENSMUSG00000000168",882,1654,1009,1736,1561,1522,2424,2254,2247
"ENSMUSG00000000171",25757,8917,43606,12070,13741,18710,10693,11860,5546
"ENSMUSG00000000184",4919,22175,7834,10308,12101,13468,24613,16009,27067
"ENSMUSG00000000194",801,2397,1162,1717,1688,1499,2318,2091,2478
"ENSMUSG00000000204",2238,6184,8246,888,15312,5379,1457,2082,688
"ENSMUSG00000000216",148,371,532,114,1146,397,643,180,223
"ENSMUSG00000000223",10,52,6,30,62,25,50,42,99
"ENSMUSG00000000244",126,1803,696,340,940,912,364,274,209
"ENSMUSG00000000253",182,351,498,337,441,452,582,622,739
"ENSMUSG00000000266",364,1036,550,673,905,638,1508,1220,1600
"ENSMUSG00000000275",2071,7222,3464,3354,6063,3950,4995,4346,4874
"ENSMUSG00000000276",184,351,229,271,371,218,480,380,424
"ENSMUSG00000000278",1300,1936,882,2444,1523,1907,2140,1636,3438
"ENSMUSG00000000282",105,693,126,479,501,299,682,633,880
"ENSMUSG00000000290",514,1316,430,1202,1478,1316,1386,1177,2085
"ENSMUSG00000000295",2667,933,4691,1334,1425,1935,902,1100,670
"ENSMUSG00000000296",19,57,208,79,48,52,0,5,4
"ENSMUSG00000000301",270,105,340,176,186,223,163,191,85
"ENSMUSG00000000303",10787,42102,18907,24993,26831,19792,42724,28601,36380
"ENSMUSG00000000305",12,29,9,4,6,2,9,3,31
"ENSMUSG00000000308",8928,11294,13388,10426,14459,14741,25171,15183,6702
"ENSMUSG00000000317",107,119,31,145,111,111,180,156,203
"ENSMUSG00000000318",93,41,56,52,36,58,102,69,54
"ENSMUSG00000000320",255,2296,417,676,1523,1251,2002,2604,5354
"ENSMUSG00000000325",47,209,67,130,156,84,157,181,388
"ENSMUSG00000000326",2092,2736,3928,2529,2684,3572,2490,3652,3399
"ENSMUSG00000000339",916,980,1417,1148,1053,1206,1086,1123,858
"ENSMUSG00000000340",605,777,952,810,783,861,1011,938,1139
"ENSMUSG00000000346",8993,10943,15482,12205,11522,12311,15149,13167,10648
"ENSMUSG00000000355",1321,906,1731,974,946,1237,861,997,649
"ENSMUSG00000000359",76,77,31,83,61,35,66,47,56
"ENSMUSG00000000374",1447,2774,1559,3426,3052,2427,4779,3192,3169
"ENSMUSG00000000378",625,1083,562,941,909,916,1092,1126,1005
"ENSMUSG00000000384",504,1137,658,1152,1064,913,1441,1356,998
"ENSMUSG00000000385",14697,16062,23941,14668,16940,18883,19984,15525,8478
"ENSMUSG00000000386",32,1035,555,71,911,597,81,249,226
"ENSMUSG00000000392",202,35,81,85,63,62,55,42,31
"ENSMUSG00000000394",184,75,109,174,138,244,562,250,156
"ENSMUSG00000000409",221,433,573,214,320,571,317,279,430
"ENSMUSG00000000416",84,242,202,184,262,153,440,193,467
"ENSMUSG00000000420",7731,9478,7654,8500,8528,8067,8257,7359,7459
"ENSMUSG00000000439",319,802,488,639,696,589,930,817,851
"ENSMUSG00000000440",85,244,122,342,295,293,477,334,237
"ENSMUSG00000000441",2010,2821,2504,2622,2820,2919,3907,3781,3197
"ENSMUSG00000000486",153,257,213,177,189,273,370,194,284
"ENSMUSG00000000489",149,494,178,485,294,259,476,497,486
"ENSMUSG00000000530",431,725,370,977,827,750,915,731,674
"ENSMUSG00000000531",115,287,86,215,166,127,179,164,172
"ENSMUSG00000000532",447,1459,349,1483,1343,802,2349,1500,1850
"ENSMUSG00000000538",212,1041,204,960,915,629,1704,1099,1382
"ENSMUSG00000000544",3890,14384,3219,11064,11033,9777,17422,13684,10459
"ENSMUSG00000000552",0,139,5,137,78,81,140,105,113
"ENSMUSG00000000555",614,1423,503,1983,1363,851,3270,1520,2487
"ENSMUSG00000000561",1417,2375,1773,1929,1936,2068,2360,2804,2364
"ENSMUSG00000000563",22506,8536,29294,12321,13875,17844,9840,11323,5733
"ENSMUSG00000000567",646,3376,1715,1890,1877,1220,2695,2491,3750
"ENSMUSG00000000568",1204,2803,1110,2723,2591,1752,5118,3561,3780
"ENSMUSG00000000579",651,310,1256,345,479,587,323,370,210
"ENSMUSG00000000581",9400,2851,13245,3413,4138,5649,2863,3025,1590
"ENSMUSG00000000594",826,2125,1235,1463,1417,2341,2737,2200,2666
"ENSMUSG00000000600",383,799,623,579,662,553,763,779,858
"ENSMUSG00000000605",2567,2732,2935,2525,2801,2730,3821,3252,3074
"ENSMUSG00000000628",1352,5051,1351,3809,5432,3301,8171,6147,5734
"ENSMUSG00000000631",937,3442,485,2820,2628,1371,4524,2974,3540
"ENSMUSG00000000682",2174,1563,2710,1316,1955,3538,1707,1456,1463
"ENSMUSG00000000686",58,72,52,71,64,81,69,59,108
"ENSMUSG00000000690",38,11,17,346,12,15,35,44,17
"ENSMUSG00000000693",73,286,39,160,175,106,185,135,183
"ENSMUSG00000000708",630,1328,809,1024,1370,1180,1775,1377,1561
"ENSMUSG00000000711",1472,3310,1655,2685,2319,2641,3236,3170,3918
"ENSMUSG00000000730",90,44,46,52,62,90,39,48,39
"ENSMUSG00000000732",326,528,349,289,493,514,905,514,535
"ENSMUSG00000000738",569,1480,358,1441,1361,1149,1705,1642,1623
"ENSMUSG00000000740",18454,9699,23619,10758,14387,15761,7530,9399,5669
"ENSMUSG00000000743",9217,5635,11394,6899,7262,9037,6127,5724,3488
"ENSMUSG00000000751",1704,2507,2223,2568,2294,2599,2916,3429,3338
"ENSMUSG00000000753",574,291,139,504,265,283,459,328,278
"ENSMUSG00000000759",832,970,1213,1013,1185,1036,1420,1244,936
"ENSMUSG00000000776",212,509,244,437,422,393,536,594,492
"ENSMUSG00000000782",108,1200,412,607,634,488,855,972,1509
"ENSMUSG00000000787",5048,13913,7571,13831,15017,9509,27015,19221,24499
"ENSMUSG00000000794",22,23,8,44,34,14,172,30,128
"ENSMUSG00000000804",604,1309,986,1156,1263,983,1553,1462,1632
"ENSMUSG00000000805",1027,2673,1313,345,5774,8471,3391,1364,160
"ENSMUSG00000000811",169,364,312,357,311,346,553,485,519
"ENSMUSG00000000823",223,452,258,484,481,297,904,577,789
"ENSMUSG00000000826",1374,4816,1360,3491,4484,2970,7541,5705,6480
"ENSMUSG00000000827",6467,3614,13070,3316,4139,5701,3117,3748,2448
"ENSMUSG00000000838",1993,2705,3016,2711,2857,2457,3635,3083,2778
"ENSMUSG00000000861",91,342,104,258,257,148,442,325,548
"ENSMUSG00000000876",274,399,362,505,398,442,438,376,460
"ENSMUSG00000000881",1370,1729,1138,1714,1716,1612,1954,1686,1375
"ENSMUSG00000000884",127,98,231,53,73,73,67,53,69
"ENSMUSG00000000901",116,173,55,171,109,109,126,171,317
"ENSMUSG00000000902",943,1762,1285,1488,1509,1529,1737,1797,1688
"ENSMUSG00000000903",52,75,40,84,120,162,123,90,137
"ENSMUSG00000000915",943,1262,1500,1364,1559,1257,1551,1223,1057
"ENSMUSG00000000916",168,210,150,283,209,252,222,293,185
"ENSMUSG00000000934",127,256,106,306,209,259,257,349,325
"ENSMUSG00000000938",1869,2697,3458,939,1981,2561,1435,2030,1791
"ENSMUSG00000000942",18,18,172,35,32,36,27,22,18
"ENSMUSG00000000957",1899,7189,1579,5399,4569,3541,6589,6230,11456
"ENSMUSG00000000958",347,695,291,452,539,684,237,227,264
"ENSMUSG00000000959",439,1173,642,1156,940,786,1862,1874,1841
"ENSMUSG00000000976",168,576,179,427,426,293,600,603,744
"ENSMUSG00000000982",127,105,96,92,445,202,370,233,100
"ENSMUSG00000000983",3998,8666,28967,4939,7025,6408,5364,7891,6124
"ENSMUSG00000001016",3296,2731,5339,2883,2985,3601,2888,3855,3015
"ENSMUSG00000001017",3431,4125,4553,3199,4033,3911,3850,4289,4177
"ENSMUSG00000001018",785,1010,1124,842,885,948,874,828,915
"ENSMUSG00000001020",11419,740,1589,2408,1606,3351,1584,1372,753
"ENSMUSG00000001021",82,17,46,17,15,32,8,8,5
"ENSMUSG00000001025",461559,94886,347733,124580,121275,169925,69377,75505,41924
"ENSMUSG00000001029",238,103,71,115,112,167,133,133,104
"ENSMUSG00000001034",87,306,71,320,278,232,406,378,382
"ENSMUSG00000001036",1001,1771,1015,1620,1551,1522,1583,1576,1653
"ENSMUSG00000001039",600,537,1126,350,622,564,176,351,331
"ENSMUSG00000001052",540,1272,703,1037,978,639,1708,1352,1948
"ENSMUSG00000001053",291,475,484,425,537,450,404,533,455
"ENSMUSG00000001054",390,721,466,765,651,669,757,737,627
"ENSMUSG00000001056",4571,2020,9066,2368,3118,4384,1396,2488,1137
"ENSMUSG00000001062",154,242,180,243,245,203,315,198,226
"ENSMUSG00000001065",246,268,225,247,306,262,370,290,277
"ENSMUSG00000001082",184,536,186,554,480,405,528,526,632
"ENSMUSG00000001089",474,2781,382,2253,2165,1197,4357,2708,4090
"ENSMUSG00000001095",107,241,32,124,265,324,1179,422,115
"ENSMUSG00000001098",3712,6016,2242,7348,5885,4553,7727,6473,4872
"ENSMUSG00000001100",2128,2114,3705,1946,2022,2896,2268,2444,1947
"ENSMUSG00000001105",3710,974,4355,1511,1863,2241,1044,1240,730
"ENSMUSG00000001119",1302,2726,862,2983,1989,1612,5140,2289,4928
"ENSMUSG00000001120",52,56,14,53,47,47,81,59,77
"ENSMUSG00000001123",2554,14962,7740,7608,11125,11142,9064,12900,12234
"ENSMUSG00000001127",1610,1971,2050,1991,1959,2043,2236,2128,1791
"ENSMUSG00000001128",554,436,731,621,661,754,549,470,446
"ENSMUSG00000001131",2113,733,887,1504,956,978,878,918,751
"ENSMUSG00000001134",1575,511,2384,774,850,1063,608,731,412
"ENSMUSG00000001138",93,539,85,248,356,174,504,491,758
"ENSMUSG00000001143",96,434,80,270,292,223,371,350,526
"ENSMUSG00000001150",204,796,235,549,623,427,1014,805,1342
"ENSMUSG00000001151",0,11,0,0,0,0,136,0,212
"ENSMUSG00000001156",3406,7722,3116,6102,10495,8172,9812,6358,3972
"ENSMUSG00000001157",950,1210,1138,1050,1186,1193,1103,1417,1517
"ENSMUSG00000001158",2337,1180,3201,1265,1619,1908,963,1322,934
"ENSMUSG00000001166",79,221,390,117,216,267,165,175,114
"ENSMUSG00000001173",187,638,170,493,481,352,968,699,1109
"ENSMUSG00000001175",50476,30368,48520,36665,35564,47232,35995,38603,22913
"ENSMUSG00000001211",426,1721,493,1479,1445,1069,1639,1690,2166
"ENSMUSG00000001225",396,1372,24,204,1511,1435,4749,1262,186
"ENSMUSG00000001227",190,191,154,284,268,160,244,189,181
"ENSMUSG00000001228",480,1550,371,1302,1236,934,1823,1932,2009
"ENSMUSG00000001229",220,975,163,858,754,477,1010,1019,1174
"ENSMUSG00000001240",296,171,184,183,198,205,234,154,201
"ENSMUSG00000001247",2204,7148,3747,5246,5139,4548,5716,6417,5513
"ENSMUSG00000001248",462,877,804,737,989,557,517,500,602
"ENSMUSG00000001249",110,315,280,340,354,189,135,136,148
"ENSMUSG00000001270",602,1097,490,1752,699,742,619,408,406
"ENSMUSG00000001280",723,3224,844,2179,2113,1355,4266,2911,4491
"ENSMUSG00000001281",80,396,108,128,231,259,302,199,435
"ENSMUSG00000001285",750,571,1023,677,721,837,563,745,503
"ENSMUSG00000001288",113,501,95,517,348,271,347,420,705
